"Income","Country","Age","Height","Location","Gender","Sales"
28875,"Sylvania",32,65,"City","Female",621
10972,"Sylvania",73,65,"City","Female",-781
15987,"Sylvania",71,68,"City","Female",798
12133,"Freedonia",34,64,"Rural","Male",NA
40691,"Sylvania",38,67,"City","Female",-595
449,"Sylvania",34,68,"City","Male",636
172193,"Freedonia",19,70,"Rural","Male",NA
251748,"Freedonia",92,64,"Rural","Male",NA
816,"Freedonia",46,71,"Rural","Male",NA
33157,"Sylvania",56,65,"City","Male",987
51518,"Sylvania",54,65,"Rural","Male",374
57551,"Sylvania",41,62,"City","Male",919
100550,"Sylvania",41,67,"City","Female",-734
44572,"Sylvania",30,57,"Rural","Male",261
102136,"Sylvania",34,62,"City","Female",606
33206,"Sylvania",36,65,"City","Female",667
1371,"Freedonia",61,74,"Rural","Male",NA
31390,"Sylvania",46,63,"Rural","Female",249
37058,"Freedonia",83,71,"City","Male",NA
15100,"Sylvania",48,58,"City","Female",765
4804,"Freedonia",20,64,"Rural","Female",NA
109447,"Freedonia",18,67,"Rural","Female",NA
32311,"Sylvania",45,60,"Rural","Male",386
560735,"Sylvania",37,69,"City","Male",830
51962,"Freedonia",37,66,"Rural","Female",NA
5886,"Sylvania",19,64,"City","Female",622
16239,"Sylvania",88,65,"Rural","Female",304
24667,"Sylvania",77,62,"City","Female",829
11803,"Sylvania",19,65,"City","Female",581
16402,"Sylvania",32,64,"City","Female",603
1421,"Sylvania",22,68,"City","Male",639
11147,"Sylvania",63,64,"City","Male",934
5797,"Sylvania",105,65,"City","Male",930
406537,"Sylvania",25,66,"City","Male",747
29137,"Sylvania",65,62,"City","Male",1008
41516,"Sylvania",26,65,"City","Female",-738
44803,"Sylvania",50,65,"City","Male",829
130120,"Freedonia",41,59,"City","Male",NA
48755,"Freedonia",34,66,"Rural","Male",NA
179038,"Sylvania",30,64,"City","Male",698
7644,"Sylvania",20,64,"City","Male",832
71470,"Sylvania",27,62,"City","Male",780
14161,"Sylvania",32,63,"Rural","Female",217
52026,"Sylvania",26,66,"Rural","Female",178
570389,"Sylvania",18,70,"City","Male",733
3741,"Sylvania",51,73,"Rural","Female",243
56543,"Sylvania",20,67,"City","Male",638
393618,"Freedonia",21,66,"Rural","Female",NA
24846,"Sylvania",34,64,"Rural","Female",-203
11861,"Sylvania",39,65,"City","Male",860
6066,"Freedonia",48,69,"Rural","Female",NA
169688,"Sylvania",18,75,"City","Female",663
254021,"Sylvania",34,68,"Rural","Male",330
38927,"Sylvania",67,61,"Rural","Male",366
78344,"Sylvania",96,62,"City","Male",-1123
89608,"Sylvania",27,66,"Rural","Female",214
1343,"Sylvania",98,67,"City","Female",986
22735,"Sylvania",44,62,"City","Female",740
274006,"Sylvania",90,67,"City","Male",930
76091,"Sylvania",18,72,"City","Female",691
178131,"Sylvania",48,66,"City","Female",716
46758,"Sylvania",74,66,"Rural","Female",249
175722,"Sylvania",42,67,"City","Male",965
79551,"Sylvania",73,66,"City","Female",897
181842,"Sylvania",35,64,"City","Male",736
254428,"Sylvania",32,65,"City","Male",809
20402,"Sylvania",46,70,"City","Female",575
22904,"Sylvania",48,65,"Rural","Male",259
225033,"Freedonia",46,66,"City","Female",NA
246117,"Sylvania",19,65,"City","Female",644
95214,"Sylvania",43,65,"City","Female",744
70153,"Sylvania",76,59,"City","Male",1051
47246,"Sylvania",39,71,"City","Male",841
89543,"Sylvania",19,67,"City","Male",610
97318,"Sylvania",29,62,"Rural","Female",196
116722,"Sylvania",24,68,"City","Female",676
2647,"Sylvania",35,62,"Rural","Male",328
105352,"Sylvania",19,72,"City","Male",626
8256,"Sylvania",36,63,"City","Male",717
145217,"Freedonia",24,66,"Rural","Female",NA
5789,"Sylvania",46,64,"City","Male",857
7765,"Sylvania",19,67,"City","Female",585
280553,"Sylvania",20,65,"City","Male",-795
27313,"Sylvania",38,70,"City","Female",777
124396,"Freedonia",29,67,"City","Male",NA
21179,"Sylvania",54,63,"Rural","Female",224
365729,"Freedonia",26,67,"Rural","Male",NA
122143,"Sylvania",35,70,"City","Female",543
3637,"Sylvania",54,67,"City","Male",860
186967,"Sylvania",25,73,"Rural","Female",179
26761,"Sylvania",67,66,"City","Male",821
127794,"Sylvania",38,64,"City","Female",677
56693,"Sylvania",42,67,"City","Male",809
172992,"Sylvania",19,66,"City","Female",591
27918,"Sylvania",20,68,"City","Male",660
95035,"Sylvania",23,68,"City","Male",715
11094,"Freedonia",53,65,"City","Female",NA
17297,"Freedonia",19,67,"Rural","Male",NA
114296,"Sylvania",78,63,"City","Female",801
6931,"Freedonia",26,70,"Rural","Male",NA
106040,"Freedonia",25,67,"Rural","Male",NA
75088,"Sylvania",71,65,"City","Female",874
27258,"Sylvania",18,66,"City","Female",583
33407,"Sylvania",22,67,"City","Female",689
174212,"Freedonia",109,63,"Rural","Male",NA
36192,"Sylvania",22,69,"City","Female",548
61272,"Sylvania",32,71,"City","Male",668
18195,"Sylvania",42,70,"City","Male",809
23219,"Sylvania",18,62,"City","Male",753
105701,"Sylvania",32,63,"City","Male",739
159031,"Sylvania",36,69,"City","Female",621
113883,"Freedonia",71,67,"Rural","Female",NA
45970,"Sylvania",52,69,"City","Female",-773
283967,"Sylvania",35,62,"City","Female",655
20988,"Freedonia",20,64,"City","Male",NA
168326,"Sylvania",64,66,"City","Female",760
61520,"Freedonia",34,70,"Rural","Female",NA
22629,"Sylvania",39,71,"City","Female",767
98157,"Sylvania",18,65,"City","Male",800
84293,"Freedonia",19,68,"Rural","Female",NA
39217,"Sylvania",19,69,"City","Male",757
141371,"Sylvania",39,59,"City","Female",758
69375,"Sylvania",84,67,"City","Male",1089
530742,"Sylvania",55,66,"Rural","Male",446
262458,"Sylvania",25,67,"City","Male",810
66953,"Freedonia",32,65,"Rural","Female",NA
123424,"Sylvania",19,65,"Rural","Male",334
124162,"Sylvania",73,65,"City","Male",932
2022,"Sylvania",31,66,"City","Female",590
61271,"Freedonia",36,66,"Rural","Female",NA
112575,"Freedonia",36,70,"Rural","Male",NA
3061,"Sylvania",29,70,"City","Female",-700
89879,"Sylvania",49,69,"City","Male",924
206926,"Freedonia",28,58,"Rural","Male",NA
135992,"Sylvania",19,65,"City","Female",695
33262,"Freedonia",61,67,"City","Female",NA
33292,"Sylvania",26,66,"City","Female",645
125469,"Sylvania",23,65,"City","Female",535
12778,"Freedonia",60,65,"Rural","Male",NA
5373,"Sylvania",19,67,"City","Female",592
25798,"Sylvania",20,65,"City","Female",634
288207,"Sylvania",21,64,"City","Female",659
332534,"Sylvania",22,69,"City","Female",643
5975,"Sylvania",51,61,"City","Male",983
10863,"Sylvania",31,61,"City","Male",775
13515,"Sylvania",19,64,"City","Male",-687
308703,"Freedonia",28,66,"Rural","Male",NA
71671,"Sylvania",47,60,"City","Male",886
2122,"Sylvania",52,64,"City","Female",785
78411,"Sylvania",19,71,"City","Female",674
1035322,"Sylvania",52,66,"City","Female",740
15358,"Freedonia",45,63,"City","Female",NA
4239,"Sylvania",70,64,"City","Female",746
140559,"Sylvania",41,60,"City","Male",850
30725,"Sylvania",43,68,"City","Male",814
110656,"Sylvania",30,69,"Rural","Female",196
18267,"Freedonia",79,63,"Rural","Female",NA
170174,"Freedonia",29,63,"City","Male",NA
92783,"Freedonia",39,65,"Rural","Female",NA
26082,"Freedonia",37,60,"Rural","Male",NA
43711,"Sylvania",46,68,"Rural","Female",208
9360,"Freedonia",21,68,"Rural","Male",NA
887,"Sylvania",25,64,"Rural","Male",358
14813,"Sylvania",97,62,"City","Male",1154
49038,"Sylvania",57,64,"City","Female",771
112593,"Sylvania",33,68,"City","Male",767
30266,"Sylvania",20,68,"City","Male",811
224099,"Sylvania",37,69,"City","Female",694
19430,"Sylvania",27,68,"City","Male",823
13088,"Sylvania",33,66,"City","Female",663
52678,"Sylvania",22,65,"City","Male",704
31634,"Sylvania",64,63,"City","Male",974
2829,"Sylvania",61,64,"Rural","Male",379
2035,"Sylvania",21,69,"City","Male",709
47719,"Sylvania",49,65,"City","Female",684
10146,"Sylvania",22,62,"City","Male",856
14333,"Freedonia",58,65,"City","Female",NA
164964,"Freedonia",40,70,"Rural","Female",NA
47372,"Sylvania",54,68,"City","Female",643
19675,"Sylvania",50,64,"City","Male",-879
40959,"Sylvania",36,68,"City","Female",693
68243,"Sylvania",30,65,"City","Male",745
29022,"Freedonia",23,65,"Rural","Female",NA
18810,"Sylvania",31,65,"City","Female",677
509839,"Freedonia",26,69,"Rural","Male",NA
27866,"Freedonia",20,68,"Rural","Male",NA
73649,"Sylvania",78,67,"City","Female",843
85799,"Sylvania",28,68,"City","Female",680
56299,"Freedonia",57,63,"Rural","Male",NA
50264,"Sylvania",37,66,"Rural","Female",230
810750,"Sylvania",53,67,"City","Female",780
57170,"Freedonia",32,70,"City","Female",NA
51859,"Freedonia",80,66,"Rural","Female",NA
69464,"Sylvania",56,62,"City","Male",1028
116379,"Sylvania",30,73,"Rural","Female",234
191601,"Sylvania",32,66,"City","Female",-645
58795,"Sylvania",32,66,"City","Female",686
72345,"Sylvania",46,68,"City","Female",799
19820,"Sylvania",79,69,"Rural","Female",298
238671,"Freedonia",29,63,"Rural","Female",NA
212350,"Sylvania",43,66,"City","Male",737
10467,"Freedonia",19,70,"Rural","Female",NA
28704,"Sylvania",43,70,"Rural","Female",223
14902,"Sylvania",26,68,"City","Female",615
53380,"Sylvania",24,64,"City","Female",614
43270,"Sylvania",28,69,"City","Male",905
458880,"Sylvania",22,62,"Rural","Male",-286
211729,"Freedonia",18,67,"Rural","Female",NA
51469,"Sylvania",27,65,"Rural","Female",210
57023,"Sylvania",28,62,"City","Male",747
497656,"Sylvania",56,64,"Rural","Female",266
11595,"Freedonia",37,63,"City","Female",NA
49001,"Sylvania",31,65,"City","Female",616
32339,"Freedonia",32,68,"Rural","Male",NA
10376,"Freedonia",49,64,"Rural","Male",NA
32140,"Sylvania",20,67,"City","Female",-637
187374,"Sylvania",44,69,"City","Female",671
6112,"Sylvania",22,67,"Rural","Male",323
114910,"Sylvania",46,69,"City","Female",776
59011,"Freedonia",39,68,"Rural","Male",NA
46195,"Freedonia",30,67,"Rural","Female",NA
295440,"Sylvania",52,64,"City","Female",766
193747,"Freedonia",70,64,"Rural","Female",NA
123439,"Sylvania",81,61,"Rural","Male",396
77197,"Freedonia",35,66,"Rural","Male",NA
116915,"Sylvania",48,64,"Rural","Female",247
8339,"Sylvania",32,70,"City","Female",691
46405,"Sylvania",56,72,"City","Female",518
161905,"Freedonia",18,64,"Rural","Female",NA
4393,"Freedonia",39,65,"Rural","Male",NA
21998,"Freedonia",32,58,"Rural","Female",NA
33802,"Sylvania",31,66,"City","Female",718
250550,"Sylvania",23,67,"City","Female",654
2381,"Sylvania",23,68,"Rural","Female",185
101515,"Sylvania",34,63,"City","Male",768
35424,"Sylvania",36,64,"City","Male",732
6175,"Sylvania",28,69,"City","Male",788
534842,"Sylvania",25,65,"Rural","Male",261
4201,"Freedonia",28,63,"Rural","Male",NA
8879,"Sylvania",45,67,"City","Female",618
3873,"Sylvania",21,66,"Rural","Female",191
142409,"Sylvania",25,62,"City","Female",569
2390,"Sylvania",22,65,"City","Female",661
61257,"Sylvania",55,69,"City","Male",752
249022,"Sylvania",25,65,"City","Female",652
24137,"Sylvania",88,68,"Rural","Male",418
1760,"Sylvania",31,67,"Rural","Female",209
82784,"Freedonia",19,67,"Rural","Female",NA
114443,"Sylvania",43,68,"City","Female",639
122999,"Freedonia",31,69,"Rural","Female",NA
66181,"Sylvania",44,59,"City","Male",867
74804,"Sylvania",21,65,"City","Male",694
242396,"Sylvania",30,63,"City","Male",812
83293,"Sylvania",76,69,"City","Male",976
67882,"Sylvania",29,63,"City","Female",662
752,"Sylvania",101,67,"Rural","Female",346
18478,"Freedonia",24,67,"Rural","Male",NA
11355,"Freedonia",22,69,"City","Male",NA
29710,"Freedonia",20,69,"Rural","Male",NA
23863,"Sylvania",19,65,"City","Male",779
1580715,"Sylvania",20,71,"City","Male",750
4596,"Sylvania",61,62,"City","Female",748
10621,"Sylvania",52,63,"City","Female",837
25112,"Sylvania",22,64,"City","Female",643
154534,"Freedonia",54,64,"Rural","Male",NA
128980,"Sylvania",49,66,"City","Male",-905
21694,"Sylvania",21,69,"City","Male",693
5811,"Sylvania",41,65,"City","Male",866
26508,"Sylvania",29,62,"City","Male",858
15887,"Freedonia",40,65,"Rural","Female",NA
11293,"Freedonia",45,64,"Rural","Female",NA
14095,"Sylvania",35,66,"City","Male",901
24095,"Sylvania",93,63,"Rural","Female",260
20517,"Freedonia",27,68,"Rural","Male",NA
19065,"Sylvania",36,66,"City","Female",653
163279,"Freedonia",51,69,"City","Female",NA
93565,"Sylvania",37,63,"Rural","Male",232
88913,"Freedonia",48,67,"Rural","Male",NA
37100,"Sylvania",39,63,"City","Male",757
40485,"Sylvania",39,67,"City","Female",797
16329,"Freedonia",40,65,"City","Male",NA
34747,"Freedonia",78,68,"City","Male",NA
7691,"Sylvania",27,63,"City","Female",626
91281,"Sylvania",40,68,"City","Female",758
627512,"Sylvania",44,64,"City","Male",870
750901,"Freedonia",25,64,"City","Male",NA
15027,"Freedonia",53,64,"Rural","Female",NA
27320,"Sylvania",34,68,"City","Female",609
116627,"Freedonia",55,68,"City","Male",NA
66842,"Sylvania",37,61,"City","Female",767
13202,"Sylvania",28,63,"City","Female",674
64810,"Sylvania",28,66,"City","Female",646
13485,"Sylvania",18,69,"City","Female",671
69891,"Sylvania",34,60,"City","Female",524
28262,"Sylvania",23,65,"City","Female",740
2225,"Freedonia",51,64,"Rural","Male",NA
43956,"Sylvania",60,68,"Rural","Male",389
24711,"Sylvania",19,60,"Rural","Male",334
39654,"Freedonia",51,64,"City","Female",NA
34375,"Sylvania",45,65,"City","Female",791
19934,"Freedonia",35,63,"Rural","Female",NA
5572,"Sylvania",26,69,"City","Female",-734
219977,"Sylvania",30,68,"City","Female",618
40320,"Sylvania",29,69,"City","Female",737
17456,"Sylvania",18,67,"City","Male",817
174503,"Freedonia",25,66,"Rural","Male",NA
8011,"Freedonia",64,69,"Rural","Male",NA
66913,"Sylvania",36,65,"City","Male",785
30051,"Sylvania",23,58,"City","Male",730
452109,"Sylvania",43,67,"City","Female",704
117011,"Sylvania",44,63,"City","Male",736
60414,"Sylvania",54,66,"City","Male",805
7761,"Sylvania",47,63,"Rural","Male",298
92564,"Sylvania",18,66,"Rural","Male",334
11118,"Freedonia",43,65,"City","Male",NA
17689,"Freedonia",59,61,"Rural","Female",NA
79993,"Sylvania",75,64,"Rural","Male",416
52662,"Sylvania",42,64,"City","Female",731
88713,"Freedonia",23,65,"Rural","Male",NA
19278,"Sylvania",22,67,"City","Male",845
124953,"Freedonia",54,63,"Rural","Male",NA
73335,"Freedonia",63,65,"Rural","Female",NA
39188,"Sylvania",76,67,"City","Male",1031
253818,"Freedonia",90,62,"Rural","Male",NA
36571,"Sylvania",27,63,"City","Female",631
50373,"Sylvania",51,61,"City","Female",751
169502,"Sylvania",97,65,"Rural","Male",386
74063,"Sylvania",25,66,"City","Male",830
95735,"Sylvania",25,70,"City","Male",740
99786,"Sylvania",21,65,"City","Male",705
5684,"Freedonia",61,67,"Rural","Male",NA
23308,"Sylvania",31,63,"City","Male",690
27255,"Sylvania",52,62,"Rural","Male",369
111351,"Freedonia",41,65,"Rural","Male",NA
147638,"Sylvania",71,63,"City","Male",846
75333,"Sylvania",44,64,"City","Female",660
97595,"Sylvania",31,62,"City","Male",-845
11205,"Sylvania",27,64,"Rural","Female",210
150842,"Sylvania",49,68,"Rural","Female",211
5226,"Sylvania",53,63,"City","Female",729
96116,"Sylvania",24,62,"City","Male",813
52152,"Sylvania",44,66,"City","Female",809
23854,"Sylvania",31,67,"City","Male",898
8628,"Sylvania",22,59,"Rural","Male",314
171360,"Sylvania",36,66,"City","Female",615
5143,"Freedonia",18,65,"Rural","Male",NA
64048,"Sylvania",49,64,"City","Male",867
6443,"Freedonia",27,58,"City","Male",NA
101157,"Sylvania",32,65,"City","Male",755
70661,"Sylvania",18,66,"City","Female",635
583918,"Sylvania",24,65,"City","Female",624
488811,"Sylvania",65,67,"City","Female",748
19433,"Sylvania",28,70,"City","Male",873
18509,"Sylvania",30,65,"Rural","Female",206
2928,"Sylvania",24,59,"City","Female",758
16739,"Sylvania",36,65,"City","Male",872
2298,"Sylvania",32,62,"Rural","Male",349
63461,"Freedonia",25,66,"Rural","Female",NA
4438,"Sylvania",35,65,"City","Male",742
116771,"Sylvania",35,68,"City","Female",783
5267,"Sylvania",69,60,"City","Male",943
51997,"Sylvania",59,69,"City","Male",963
64268,"Freedonia",34,61,"Rural","Female",NA
126584,"Freedonia",28,65,"City","Female",NA
21435,"Freedonia",47,61,"Rural","Female",NA
244931,"Sylvania",72,64,"City","Female",784
23691,"Freedonia",23,66,"Rural","Female",NA
9357,"Sylvania",23,71,"City","Male",-798
255007,"Sylvania",30,67,"City","Female",680
3760,"Freedonia",52,65,"Rural","Male",NA
68082,"Freedonia",35,63,"Rural","Male",NA
407221,"Sylvania",49,69,"City","Female",789
159513,"Sylvania",42,63,"City","Male",772
51447,"Freedonia",25,67,"Rural","Male",NA
475661,"Sylvania",48,64,"Rural","Female",263
18325,"Sylvania",42,71,"City","Male",-883
30402,"Sylvania",23,57,"Rural","Female",201
14374,"Sylvania",25,66,"City","Male",764
22932,"Sylvania",52,68,"Rural","Male",360
7925,"Freedonia",23,68,"Rural","Male",NA
15674,"Sylvania",26,63,"City","Female",549
48516,"Sylvania",32,66,"City","Female",738
101644,"Sylvania",20,64,"City","Male",747
30408,"Freedonia",61,71,"City","Male",NA
23878,"Sylvania",29,64,"City","Male",816
4830,"Sylvania",37,64,"City","Male",767
14611,"Freedonia",53,66,"Rural","Male",NA
58836,"Sylvania",21,63,"City","Male",773
142269,"Sylvania",22,64,"City","Male",819
7543,"Sylvania",52,65,"City","Female",780
47807,"Sylvania",59,63,"City","Female",749
6411,"Sylvania",20,65,"City","Male",792
63968,"Sylvania",20,67,"Rural","Male",336
25565,"Sylvania",57,55,"City","Male",923
11148,"Freedonia",57,58,"City","Female",NA
33287,"Freedonia",22,67,"City","Male",NA
15922,"Sylvania",22,65,"City","Female",669
28451,"Sylvania",93,68,"City","Female",983
206724,"Sylvania",20,67,"City","Male",869
12291,"Sylvania",45,65,"City","Female",712
155579,"Sylvania",39,58,"City","Female",713
4695,"Freedonia",34,68,"City","Male",NA
36939,"Sylvania",50,63,"City","Female",710
83795,"Sylvania",38,66,"Rural","Male",402
23052,"Sylvania",56,65,"City","Male",964
11234,"Sylvania",37,69,"City","Male",719
238,"Freedonia",27,62,"Rural","Male",NA
13405,"Sylvania",36,68,"City","Female",712
156273,"Freedonia",37,64,"Rural","Female",NA
546957,"Sylvania",31,64,"City","Male",854
59168,"Freedonia",48,70,"Rural","Female",NA
286280,"Freedonia",58,60,"Rural","Female",NA
449317,"Freedonia",29,67,"Rural","Male",NA
65303,"Sylvania",18,63,"City","Male",825
104371,"Freedonia",42,62,"Rural","Female",NA
125778,"Sylvania",39,69,"Rural","Female",215
25254,"Sylvania",22,64,"City","Male",860
16683,"Sylvania",28,65,"City","Female",766
59588,"Sylvania",19,69,"City","Male",629
11698,"Sylvania",20,66,"Rural","Female",206
775787,"Sylvania",31,70,"City","Female",666
16492,"Sylvania",26,66,"City","Male",778
16191,"Sylvania",20,67,"City","Female",640
21358,"Sylvania",73,66,"City","Female",810
140545,"Sylvania",47,61,"City","Female",731
10302,"Freedonia",34,66,"Rural","Female",NA
907393,"Sylvania",26,68,"City","Female",599
1840,"Freedonia",34,68,"Rural","Male",NA
127486,"Sylvania",33,70,"City","Male",-837
9357,"Sylvania",40,66,"City","Female",577
146941,"Sylvania",34,64,"City","Male",771
57387,"Sylvania",31,63,"City","Female",755
414139,"Sylvania",29,70,"City","Female",652
20940,"Sylvania",38,65,"Rural","Male",364
15847,"Sylvania",23,62,"City","Female",622
64357,"Sylvania",18,63,"City","Female",561
60615,"Sylvania",22,68,"City","Female",577
212929,"Freedonia",19,65,"Rural","Female",NA
131501,"Sylvania",80,72,"City","Male",997
35286,"Sylvania",47,61,"City","Female",742
13154,"Sylvania",30,64,"City","Male",816
123721,"Sylvania",23,65,"City","Female",633
31166,"Sylvania",20,65,"City","Female",618
397429,"Sylvania",47,71,"City","Male",785
2446,"Sylvania",23,68,"City","Female",700
10660,"Sylvania",60,64,"City","Female",831
50849,"Sylvania",38,64,"City","Female",701
65668,"Sylvania",60,71,"City","Female",813
15022,"Sylvania",20,66,"Rural","Female",206
31722,"Sylvania",48,70,"Rural","Male",355
36833,"Freedonia",27,69,"Rural","Female",NA
151908,"Sylvania",28,65,"City","Female",616
13758,"Sylvania",19,60,"City","Male",688
55984,"Sylvania",53,71,"City","Female",846
23972,"Sylvania",55,61,"City","Female",670
5661,"Sylvania",39,63,"City","Female",664
39456,"Sylvania",33,62,"City","Female",630
55868,"Sylvania",27,66,"Rural","Female",164
25925,"Freedonia",27,66,"City","Male",NA
13288,"Sylvania",22,61,"City","Male",846
68008,"Sylvania",32,65,"City","Female",608
57572,"Sylvania",35,62,"City","Female",651
22932,"Freedonia",18,60,"Rural","Male",NA
15173,"Sylvania",42,64,"Rural","Female",217
258467,"Sylvania",33,63,"City","Female",706
1193406,"Sylvania",62,64,"Rural","Female",237
2406,"Sylvania",72,65,"City","Male",910
452384,"Freedonia",75,62,"Rural","Female",NA
36197,"Sylvania",25,68,"City","Female",672
761,"Sylvania",25,67,"City","Male",811
40758,"Sylvania",24,66,"City","Female",602
136743,"Sylvania",70,67,"Rural","Male",383
20153,"Sylvania",27,63,"City","Female",640
63534,"Sylvania",22,68,"Rural","Male",323
17030,"Sylvania",34,72,"City","Female",749
10578,"Sylvania",44,70,"City","Female",766
38101,"Sylvania",27,72,"City","Female",570
39764,"Sylvania",23,65,"City","Male",794
39043,"Sylvania",63,67,"City","Male",832
16392,"Sylvania",32,69,"City","Female",627
48371,"Sylvania",19,69,"City","Female",663
157154,"Sylvania",28,61,"City","Female",732
332373,"Sylvania",28,63,"City","Male",700
141955,"Sylvania",36,66,"City","Male",765
41366,"Sylvania",42,64,"Rural","Female",243
38727,"Sylvania",24,63,"City","Female",655
107870,"Sylvania",22,67,"City","Female",643
177884,"Sylvania",63,71,"City","Female",757
906,"Freedonia",19,66,"Rural","Female",NA
135817,"Sylvania",47,67,"City","Male",930
29826,"Sylvania",31,66,"City","Female",749
59320,"Sylvania",26,68,"City","Female",663
10418,"Sylvania",21,67,"City","Male",701
19418,"Sylvania",43,62,"City","Male",792
22223,"Sylvania",18,67,"City","Female",578
13007,"Sylvania",38,64,"City","Female",732
51642,"Sylvania",48,69,"City","Male",899
174002,"Freedonia",25,66,"City","Male",NA
36885,"Sylvania",38,68,"City","Female",766
189552,"Sylvania",18,71,"City","Female",566
40230,"Sylvania",21,66,"City","Female",565
4901,"Freedonia",54,64,"Rural","Male",NA
185087,"Freedonia",27,63,"Rural","Female",NA
54598,"Sylvania",26,64,"City","Female",616
1481,"Sylvania",37,64,"City","Male",861
129110,"Freedonia",78,64,"Rural","Female",NA
20860,"Sylvania",50,67,"City","Male",866
125999,"Sylvania",39,64,"Rural","Male",359
181677,"Freedonia",29,63,"Rural","Female",NA
4180,"Sylvania",23,72,"Rural","Male",321
4305,"Sylvania",70,63,"Rural","Male",450
5221,"Sylvania",26,63,"City","Female",594
4153,"Freedonia",25,63,"City","Female",NA
24289,"Sylvania",52,65,"City","Male",915
50357,"Sylvania",48,65,"City","Female",676
12179,"Freedonia",28,66,"Rural","Male",NA
19749,"Sylvania",53,70,"City","Male",805
8449,"Sylvania",27,68,"City","Male",710
21214,"Sylvania",92,67,"City","Male",1010
172616,"Sylvania",24,64,"City","Female",622
45152,"Sylvania",67,65,"City","Female",743
166708,"Sylvania",19,61,"City","Male",723
30669,"Sylvania",33,63,"Rural","Male",364
595726,"Sylvania",85,65,"City","Female",814
7283,"Sylvania",92,68,"City","Female",857
24853,"Freedonia",32,63,"Rural","Male",NA
1448,"Sylvania",36,63,"City","Male",913
139800,"Freedonia",49,62,"Rural","Female",NA
67690,"Sylvania",23,70,"City","Female",692
117333,"Sylvania",39,61,"City","Male",827
13430,"Sylvania",34,63,"City","Male",-829
19072,"Sylvania",81,71,"Rural","Female",299
20948,"Freedonia",103,67,"Rural","Female",NA
13381,"Sylvania",85,62,"City","Male",1002
32715,"Sylvania",42,65,"City","Female",682
870697,"Sylvania",28,65,"City","Female",721
38181,"Sylvania",49,62,"City","Male",803
82050,"Sylvania",18,66,"City","Female",625
99751,"Sylvania",20,66,"City","Female",585
1001414,"Freedonia",31,71,"Rural","Female",NA
264114,"Freedonia",50,64,"Rural","Male",NA
30874,"Sylvania",29,65,"Rural","Female",186
29958,"Sylvania",49,67,"City","Male",886
235817,"Freedonia",60,72,"City","Female",NA
54055,"Sylvania",62,65,"City","Female",804
9786,"Sylvania",58,63,"Rural","Male",409
25354,"Freedonia",59,68,"Rural","Female",NA
5708,"Sylvania",47,62,"Rural","Male",369
81455,"Sylvania",89,68,"City","Female",905
12713,"Sylvania",21,65,"City","Female",633
23728,"Freedonia",26,68,"Rural","Female",NA
33873,"Sylvania",63,67,"City","Female",785
49820,"Sylvania",54,69,"City","Male",756
22723,"Sylvania",25,65,"City","Male",787
18963,"Sylvania",43,70,"Rural","Female",236
40327,"Sylvania",86,65,"City","Female",860
101382,"Sylvania",38,70,"City","Male",782
715,"Sylvania",43,65,"City","Male",964
6587,"Sylvania",18,64,"City","Male",857
9900,"Sylvania",32,67,"Rural","Male",249
14558,"Sylvania",36,66,"Rural","Female",211
51000,"Sylvania",18,63,"City","Female",641
32826,"Freedonia",38,69,"Rural","Male",NA
432054,"Sylvania",20,62,"City","Male",879
110165,"Sylvania",61,70,"Rural","Male",333
378821,"Sylvania",33,66,"City","Male",824
11337,"Sylvania",32,68,"City","Female",678
149987,"Freedonia",79,67,"City","Female",NA
27576,"Freedonia",32,67,"Rural","Male",NA
41328,"Freedonia",19,68,"Rural","Male",NA
20821,"Sylvania",40,61,"City","Female",850
2425,"Sylvania",20,67,"City","Female",558
16216,"Sylvania",29,66,"City","Male",788
15695,"Sylvania",19,64,"City","Female",542
20392,"Sylvania",63,62,"City","Female",757
9860,"Sylvania",36,62,"City","Female",704
7926,"Sylvania",32,69,"Rural","Male",279
13444,"Sylvania",61,67,"City","Male",-867
13160,"Sylvania",40,61,"City","Female",704
12600,"Sylvania",70,67,"City","Male",901
104675,"Sylvania",39,69,"City","Male",873
516496,"Sylvania",53,59,"City","Male",779
229161,"Sylvania",22,62,"City","Male",768
13369,"Sylvania",22,66,"Rural","Male",-339
195829,"Sylvania",70,66,"City","Male",883
31428,"Sylvania",55,69,"City","Female",-665
2204,"Sylvania",22,72,"City","Female",614
15295,"Sylvania",30,65,"City","Female",593
48935,"Freedonia",42,66,"Rural","Male",NA
110295,"Freedonia",55,67,"Rural","Male",NA
206680,"Sylvania",36,67,"City","Female",770
12903,"Freedonia",48,69,"Rural","Male",NA
132573,"Freedonia",43,68,"Rural","Female",NA
126869,"Sylvania",27,65,"City","Male",947
433112,"Sylvania",25,65,"Rural","Female",199
51851,"Sylvania",55,64,"City","Female",-600
22356,"Sylvania",36,63,"Rural","Female",225
7803,"Sylvania",21,64,"City","Male",760
1344,"Sylvania",22,64,"City","Male",827
56437,"Sylvania",38,64,"City","Male",771
178869,"Sylvania",29,63,"City","Male",748
68842,"Sylvania",40,68,"City","Female",670
49085,"Freedonia",45,66,"Rural","Female",NA
159609,"Sylvania",42,71,"City","Male",853
19326,"Sylvania",67,64,"City","Female",823
10259,"Sylvania",49,69,"Rural","Female",249
374150,"Freedonia",19,71,"Rural","Female",NA
19694,"Sylvania",24,66,"City","Female",661
2664,"Sylvania",29,63,"City","Male",805
