"TARGET","GENDER","MARRIAGE","CREDIT_LIMIT","AGE"
"PAID",1,1,20000,53
"PAID",2,1,2e+05,33
"PAID",1,1,80000,39
"PAID",1,2,80000,33
"PAID",1,2,150000,26
"PAID",1,1,50000,50
"PAID",2,2,370000,28
"NOT_PAID",2,2,130000,25
"PAID",2,1,450000,41
"PAID",2,1,2e+05,44
"PAID",1,2,130000,30
"PAID",2,2,230000,23
"PAID",2,2,90000,29
"PAID",1,1,30000,53
"NOT_PAID",1,1,180000,43
"PAID",1,2,140000,32
"PAID",1,1,380000,52
"NOT_PAID",2,1,30000,56
"NOT_PAID",2,1,80000,46
"NOT_PAID",2,1,60000,47
"PAID",2,2,290000,32
"NOT_PAID",2,1,160000,26
"PAID",1,2,20000,28
"PAID",2,1,80000,65
"PAID",2,1,360000,34
"PAID",2,2,30000,44
"PAID",2,1,140000,37
"PAID",1,2,150000,33
"PAID",1,1,130000,45
"NOT_PAID",1,1,410000,34
"NOT_PAID",2,2,70000,28
"PAID",2,2,30000,24
"PAID",2,1,50000,37
"PAID",1,1,180000,45
"PAID",2,2,30000,36
"PAID",1,2,20000,38
"PAID",1,2,30000,24
"PAID",2,2,20000,53
"PAID",1,2,280000,27
"NOT_PAID",2,1,50000,28
"NOT_PAID",1,1,360000,34
"NOT_PAID",2,1,190000,41
"PAID",2,1,180000,36
"PAID",2,2,60000,24
"PAID",2,1,320000,47
"NOT_PAID",1,2,10000,33
"NOT_PAID",2,1,2e+05,52
"PAID",1,2,50000,24
"PAID",2,2,180000,25
"NOT_PAID",1,2,20000,24
"PAID",2,1,3e+05,28
"NOT_PAID",2,2,90000,28
"NOT_PAID",2,2,160000,23
"PAID",1,2,20000,39
"PAID",2,2,150000,28
"PAID",1,2,50000,26
"PAID",1,3,60000,43
"PAID",2,1,210000,54
"PAID",1,2,150000,27
"NOT_PAID",2,2,60000,24
"PAID",2,1,210000,35
"PAID",1,2,210000,28
"PAID",2,1,360000,31
"PAID",1,2,10000,25
"PAID",2,2,140000,32
"PAID",2,2,1e+05,33
"NOT_PAID",1,2,50000,23
"NOT_PAID",2,2,360000,42
"PAID",1,1,360000,42
"PAID",2,2,30000,27
"PAID",1,2,20000,36
"PAID",2,1,260000,42
"NOT_PAID",2,2,1e+05,38
"PAID",2,2,340000,39
"NOT_PAID",2,2,50000,31
"PAID",2,1,180000,32
"PAID",2,2,360000,33
"PAID",2,1,60000,35
"PAID",2,1,20000,28
"NOT_PAID",2,1,150000,44
"PAID",1,1,150000,50
"PAID",1,2,3e+05,32
"PAID",2,2,420000,35
"PAID",1,2,5e+05,34
"PAID",2,2,150000,30
"NOT_PAID",1,1,50000,54
"PAID",2,2,110000,24
"PAID",2,1,150000,38
"PAID",1,2,80000,26
"PAID",2,1,150000,34
"PAID",2,2,50000,39
"PAID",1,2,20000,33
"PAID",2,2,80000,33
"NOT_PAID",1,1,150000,41
"PAID",2,1,240000,41
"PAID",2,1,1e+05,27
"PAID",2,1,130000,45
"PAID",1,1,20000,37
"PAID",2,2,340000,35
"PAID",1,1,430000,40
"PAID",2,1,110000,57
"PAID",2,1,90000,49
"PAID",2,2,10000,26
"PAID",1,2,1e+05,32
"PAID",2,1,390000,34
"PAID",2,2,130000,43
"PAID",2,1,180000,37
"PAID",1,3,50000,51
"PAID",2,1,80000,30
"NOT_PAID",2,2,30000,33
"PAID",2,2,150000,30
"PAID",1,2,230000,46
"NOT_PAID",2,2,90000,23
"PAID",2,3,80000,30
"PAID",1,2,7e+05,35
"NOT_PAID",2,2,30000,22
"NOT_PAID",2,1,90000,28
"PAID",1,2,2e+05,44
"NOT_PAID",1,1,230000,50
"PAID",1,2,1e+05,54
"PAID",2,2,360000,28
"NOT_PAID",1,1,5e+05,43
"PAID",2,2,240000,42
"PAID",1,2,360000,28
"NOT_PAID",1,1,360000,30
"PAID",1,1,320000,43
"PAID",2,1,50000,40
"PAID",2,2,140000,31
"PAID",2,1,360000,30
"NOT_PAID",2,2,180000,27
"PAID",2,1,330000,40
"NOT_PAID",2,2,140000,24
"PAID",2,1,360000,27
"NOT_PAID",2,2,150000,27
"PAID",2,2,220000,29
"PAID",1,2,260000,31
"PAID",2,1,30000,54
"PAID",1,2,580000,31
"PAID",1,2,50000,25
"NOT_PAID",2,1,230000,36
"NOT_PAID",1,1,20000,39
"NOT_PAID",1,1,110000,35
"PAID",2,2,240000,28
"PAID",2,1,50000,34
"PAID",2,3,20000,51
"PAID",2,1,190000,42
"PAID",2,2,1e+05,50
"PAID",1,1,5e+05,34
"PAID",2,1,170000,40
"PAID",2,2,150000,23
"PAID",1,1,30000,48
"NOT_PAID",1,2,80000,41
"PAID",2,1,340000,49
"PAID",2,2,210000,30
"PAID",2,2,30000,23
"PAID",1,2,230000,27
"PAID",1,2,20000,23
"PAID",2,1,70000,26
"NOT_PAID",2,1,310000,66
"NOT_PAID",1,2,80000,36
"PAID",2,2,150000,27
"PAID",1,1,20000,49
"PAID",2,1,220000,54
"PAID",2,2,150000,30
"PAID",1,2,530000,30
"PAID",2,1,150000,28
"NOT_PAID",2,2,150000,29
"PAID",2,1,420000,30
"PAID",2,1,80000,31
"PAID",2,1,1e+05,37
"NOT_PAID",2,2,30000,27
"PAID",1,1,50000,37
"NOT_PAID",2,2,330000,39
"PAID",2,2,140000,36
"PAID",2,1,50000,34
"NOT_PAID",1,1,360000,37
"NOT_PAID",1,2,180000,38
"PAID",2,1,130000,27
"PAID",2,2,130000,31
"PAID",1,2,20000,24
"PAID",2,2,260000,30
"PAID",2,2,50000,51
"PAID",2,1,320000,29
"NOT_PAID",2,1,70000,37
"PAID",2,1,180000,47
"PAID",1,1,60000,54
"PAID",1,1,80000,23
"PAID",2,1,10000,49
"NOT_PAID",2,1,150000,33
"PAID",2,2,50000,55
"PAID",1,2,150000,41
"PAID",1,2,350000,38
"PAID",2,2,380000,44
"PAID",2,2,130000,25
"PAID",2,1,180000,35
"PAID",2,1,1e+05,41
"NOT_PAID",2,1,30000,31
"PAID",1,2,430000,28
"NOT_PAID",2,1,2e+05,37
"NOT_PAID",1,1,360000,43
"PAID",2,2,80000,32
"NOT_PAID",2,2,40000,26
"PAID",2,2,80000,29
"PAID",1,2,20000,23
"NOT_PAID",2,2,250000,24
"PAID",1,1,70000,43
"NOT_PAID",2,1,20000,34
"PAID",2,1,160000,39
"NOT_PAID",1,1,70000,36
"PAID",2,2,50000,34
"NOT_PAID",2,1,30000,41
"PAID",1,1,80000,48
"PAID",1,1,20000,52
"PAID",2,1,50000,32
"PAID",1,2,50000,26
"PAID",2,1,230000,36
"NOT_PAID",2,2,10000,23
"PAID",1,1,20000,42
"PAID",1,2,110000,34
"PAID",2,2,2e+05,29
"PAID",1,1,20000,59
"PAID",1,2,80000,29
"PAID",2,2,280000,31
"PAID",2,1,140000,45
"PAID",2,2,60000,25
"PAID",1,1,50000,51
"PAID",2,1,2e+05,34
"PAID",2,1,180000,38
"PAID",2,2,260000,45
"NOT_PAID",1,2,150000,32
"PAID",2,2,130000,32
"NOT_PAID",1,2,120000,50
"PAID",2,1,210000,30
"PAID",2,3,110000,33
"PAID",1,2,30000,28
"NOT_PAID",2,2,170000,25
"PAID",2,2,360000,32
"NOT_PAID",1,2,130000,37
"NOT_PAID",2,2,30000,24
"PAID",2,1,160000,31
"PAID",2,1,30000,43
"NOT_PAID",2,2,10000,22
"PAID",2,2,50000,38
"PAID",1,1,80000,40
"PAID",2,1,260000,49
"NOT_PAID",1,2,170000,26
"PAID",2,2,30000,25
"PAID",2,2,50000,51
"PAID",1,1,120000,40
"NOT_PAID",2,1,240000,31
"PAID",1,2,180000,41
"PAID",2,2,60000,26
"NOT_PAID",2,2,150000,32
"PAID",2,2,360000,26
"NOT_PAID",2,2,350000,32
"PAID",2,1,30000,43
"PAID",2,2,120000,29
"NOT_PAID",1,1,330000,43
"PAID",1,2,5e+05,44
"PAID",2,1,1e+05,34
"PAID",2,1,80000,37
"PAID",2,2,260000,30
"PAID",1,1,5e+05,41
"PAID",1,2,90000,52
"PAID",2,1,360000,38
"PAID",1,2,360000,34
"PAID",2,2,1e+05,25
"NOT_PAID",1,2,2e+05,36
"PAID",2,2,490000,52
"PAID",1,1,460000,40
"NOT_PAID",1,2,20000,39
"PAID",2,1,230000,35
"PAID",2,2,170000,28
"PAID",2,1,60000,63
"PAID",2,1,90000,33
"PAID",1,1,160000,38
"NOT_PAID",1,2,20000,30
"PAID",2,1,5e+05,36
"NOT_PAID",2,1,30000,42
"PAID",1,2,170000,31
"PAID",2,1,1e+05,44
"PAID",1,2,50000,39
"NOT_PAID",1,2,110000,28
"PAID",2,2,20000,23
"PAID",2,2,70000,26
"PAID",2,1,310000,42
"NOT_PAID",1,2,30000,28
"NOT_PAID",2,1,30000,27
"PAID",2,1,1e+05,36
"PAID",2,2,150000,30
"PAID",1,2,80000,27
"PAID",2,1,2e+05,40
"NOT_PAID",1,1,20000,36
"PAID",1,1,30000,33
"PAID",2,1,50000,42
"PAID",2,1,130000,32
"PAID",1,2,330000,32
"PAID",2,2,80000,53
"PAID",2,1,50000,34
"PAID",2,2,150000,33
"PAID",2,1,210000,30
"PAID",2,1,30000,30
"PAID",2,2,5e+05,30
"PAID",2,2,60000,32
"PAID",2,1,20000,29
"NOT_PAID",2,2,30000,23
"NOT_PAID",1,1,120000,60
"NOT_PAID",2,1,80000,37
"NOT_PAID",2,1,360000,35
"PAID",1,1,150000,36
"PAID",2,2,10000,51
"PAID",2,1,230000,30
"PAID",2,2,380000,31
"PAID",2,2,350000,48
"PAID",2,2,130000,23
"PAID",2,2,490000,29
"PAID",2,2,150000,28
"NOT_PAID",2,2,340000,38
"PAID",2,2,80000,52
"PAID",2,2,230000,36
"PAID",1,2,160000,37
"PAID",2,1,3e+05,33
"PAID",2,1,4e+05,24
"PAID",2,1,80000,45
"PAID",1,1,320000,45
"PAID",1,2,310000,36
"PAID",2,1,270000,32
"PAID",2,1,280000,53
"PAID",1,2,330000,31
"PAID",1,2,50000,49
"NOT_PAID",2,2,240000,26
"PAID",2,2,180000,27
"NOT_PAID",1,2,270000,28
"NOT_PAID",1,2,70000,36
"PAID",1,2,290000,27
"PAID",2,2,350000,41
"PAID",1,1,210000,54
"NOT_PAID",1,2,110000,47
"NOT_PAID",1,1,3e+05,32
"PAID",2,2,140000,38
"PAID",1,2,80000,27
"PAID",2,1,360000,42
"PAID",2,2,210000,33
"NOT_PAID",1,2,50000,22
"NOT_PAID",2,2,80000,28
"PAID",2,2,130000,27
"PAID",2,2,50000,22
"PAID",2,2,80000,34
"PAID",1,2,350000,35
"PAID",2,1,330000,37
"PAID",2,2,80000,23
"PAID",2,1,280000,51
"PAID",1,2,30000,49
"PAID",1,1,2e+05,44
"PAID",2,2,120000,26
"PAID",2,1,50000,38
"PAID",1,2,50000,31
"NOT_PAID",1,1,3e+05,58
"PAID",1,2,20000,30
"NOT_PAID",1,2,50000,46
"PAID",2,2,5e+05,44
"PAID",2,1,130000,40
"NOT_PAID",2,2,70000,28
"PAID",2,2,70000,29
"PAID",2,2,120000,27
"PAID",1,1,340000,48
"NOT_PAID",1,2,130000,41
"PAID",1,2,240000,33
"PAID",2,1,50000,37
"PAID",2,1,210000,48
"NOT_PAID",1,2,30000,30
"PAID",2,2,80000,22
"PAID",1,1,50000,42
"PAID",2,1,220000,25
"PAID",1,1,40000,37
"PAID",1,2,280000,26
"PAID",2,1,90000,31
"PAID",2,2,180000,39
"NOT_PAID",1,2,50000,30
"PAID",1,2,320000,27
"PAID",1,1,70000,38
"NOT_PAID",2,2,260000,36
"PAID",1,1,360000,38
"PAID",2,2,1e+05,38
"NOT_PAID",2,1,1e+05,32
"PAID",2,1,140000,39
"PAID",2,2,90000,28
"PAID",1,2,220000,25
"PAID",2,2,260000,34
"PAID",2,1,260000,42
"PAID",1,2,20000,24
"PAID",2,2,50000,27
"PAID",2,2,70000,23
"NOT_PAID",2,1,170000,36
"PAID",2,2,30000,22
"PAID",1,2,2e+05,68
"PAID",2,2,50000,39
"PAID",1,2,50000,30
"PAID",2,1,470000,35
"NOT_PAID",2,2,20000,22
"PAID",1,2,50000,26
"PAID",2,1,360000,56
"PAID",2,3,20000,46
"PAID",2,2,140000,26
"NOT_PAID",2,1,10000,47
"PAID",2,2,90000,30
"PAID",2,1,2e+05,46
"PAID",2,1,390000,39
"NOT_PAID",2,2,90000,25
"PAID",2,2,130000,27
"NOT_PAID",2,2,120000,33
"PAID",2,1,160000,35
"PAID",2,2,70000,24
"PAID",1,1,80000,60
"PAID",2,2,250000,36
"PAID",1,2,240000,37
"PAID",2,2,50000,49
"PAID",2,2,30000,23
"NOT_PAID",1,1,50000,51
"NOT_PAID",2,2,80000,24
"PAID",1,1,130000,47
"PAID",1,2,50000,23
"PAID",1,1,2e+05,39
"PAID",1,1,140000,33
"PAID",2,2,30000,23
"PAID",2,2,20000,25
"PAID",1,2,70000,29
"PAID",2,3,20000,48
"PAID",1,1,410000,42
"NOT_PAID",1,1,250000,41
"NOT_PAID",2,2,140000,27
"PAID",2,2,90000,26
"PAID",1,1,340000,38
"PAID",2,1,230000,28
"PAID",1,2,80000,33
"NOT_PAID",2,2,50000,42
"PAID",2,1,60000,35
"PAID",2,2,50000,24
"PAID",2,2,210000,28
"PAID",2,2,140000,27
"PAID",1,2,20000,32
"NOT_PAID",1,3,20000,48
"PAID",1,2,230000,32
"PAID",1,2,210000,27
"PAID",1,2,20000,34
"PAID",2,2,50000,24
"PAID",1,2,30000,49
"NOT_PAID",2,2,50000,36
"PAID",2,1,150000,30
"PAID",1,1,160000,57
"PAID",2,1,90000,42
"PAID",1,1,150000,39
"NOT_PAID",1,2,2e+05,36
"PAID",1,1,170000,40
"PAID",2,1,1e+05,38
"PAID",1,1,20000,39
"PAID",1,2,30000,24
"PAID",1,2,2e+05,32
"PAID",1,1,180000,46
"PAID",2,1,160000,44
"PAID",2,2,80000,31
"PAID",2,1,70000,36
"NOT_PAID",1,2,80000,44
"NOT_PAID",1,2,50000,45
"NOT_PAID",2,1,140000,58
"PAID",2,1,90000,50
"PAID",2,2,120000,27
"PAID",2,2,80000,33
"NOT_PAID",1,2,20000,43
"PAID",1,2,20000,28
"PAID",2,2,440000,34
"PAID",2,1,310000,28
"PAID",2,2,80000,25
"PAID",1,2,2e+05,28
"NOT_PAID",2,1,3e+05,34
"PAID",2,1,140000,35
"PAID",2,1,230000,43
"NOT_PAID",2,1,130000,38
"PAID",2,1,40000,48
"PAID",2,1,20000,23
"PAID",2,2,90000,26
"NOT_PAID",2,2,50000,41
"PAID",1,1,220000,49
"NOT_PAID",2,3,60000,64
"PAID",1,1,240000,48
"PAID",2,2,4e+05,40
"PAID",1,2,120000,30
"PAID",2,1,280000,37
"PAID",2,2,390000,28
"PAID",2,1,340000,46
"NOT_PAID",1,2,10000,47
"NOT_PAID",1,1,110000,35
"PAID",1,2,1e+05,31
"PAID",2,1,130000,25
"PAID",1,1,230000,45
"NOT_PAID",2,1,290000,39
"PAID",1,2,50000,29
"PAID",2,2,120000,27
"NOT_PAID",2,1,240000,36
"PAID",2,2,360000,32
"PAID",2,2,110000,31
"PAID",2,2,60000,23
"NOT_PAID",1,2,130000,33
"PAID",2,1,250000,31
"PAID",1,2,410000,38
"PAID",2,2,130000,53
"PAID",1,2,2e+05,38
"PAID",2,2,60000,25
"PAID",1,2,20000,25
"PAID",1,1,20000,37
"PAID",2,1,380000,50
"NOT_PAID",1,1,80000,47
"PAID",1,2,160000,31
"PAID",1,2,50000,23
"PAID",1,1,50000,34
"PAID",1,1,310000,34
"PAID",1,2,130000,30
"PAID",1,2,180000,33
"PAID",2,1,130000,43
"PAID",1,1,50000,35
"NOT_PAID",2,1,150000,30
"PAID",2,2,230000,25
"PAID",2,2,20000,23
"NOT_PAID",2,1,360000,33
"PAID",2,1,180000,31
"PAID",1,1,280000,37
"NOT_PAID",2,2,90000,23
"PAID",1,1,210000,41
"NOT_PAID",1,2,240000,30
"PAID",2,1,2e+05,49
"PAID",2,1,180000,35
"PAID",1,1,190000,44
"PAID",2,1,50000,53
"PAID",2,1,80000,23
"NOT_PAID",1,2,50000,23
"PAID",1,2,130000,29
"NOT_PAID",2,1,30000,52
"PAID",2,2,30000,28
"NOT_PAID",1,2,50000,24
"PAID",2,1,360000,41
"NOT_PAID",2,2,80000,24
"PAID",1,2,460000,33
"PAID",1,1,2e+05,48
"NOT_PAID",1,2,50000,22
"PAID",2,2,370000,28
"NOT_PAID",2,1,20000,42
"PAID",2,2,50000,24
"PAID",1,1,80000,54
"PAID",2,1,170000,31
"PAID",1,1,4e+05,54
"PAID",2,1,5e+05,41
"NOT_PAID",1,1,250000,44
"PAID",2,2,80000,22
"PAID",2,3,90000,40
"NOT_PAID",1,2,120000,44
"PAID",1,1,310000,44
"PAID",1,2,20000,22
"PAID",2,2,60000,29
"PAID",2,2,460000,29
"PAID",1,1,220000,40
"NOT_PAID",1,2,220000,32
"PAID",1,2,20000,33
"NOT_PAID",1,1,80000,38
"PAID",1,2,220000,31
"PAID",1,2,20000,23
"PAID",2,2,1e+05,26
"PAID",2,2,230000,31
"PAID",2,1,3e+05,40
"PAID",1,2,20000,24
"PAID",1,2,160000,29
"NOT_PAID",2,1,70000,27
"PAID",2,2,240000,37
"PAID",1,2,1e+05,25
"PAID",1,2,220000,30
"PAID",1,2,50000,42
"PAID",2,1,80000,44
"NOT_PAID",1,2,130000,28
"PAID",2,2,30000,23
"NOT_PAID",2,1,360000,46
"NOT_PAID",1,1,280000,34
"PAID",1,1,230000,45
"PAID",2,2,30000,24
"NOT_PAID",2,1,70000,28
"PAID",1,2,1e+05,32
"NOT_PAID",1,2,50000,27
"PAID",2,2,150000,26
"NOT_PAID",1,2,20000,46
"NOT_PAID",1,3,1e+05,48
"NOT_PAID",2,2,90000,25
"PAID",1,2,50000,49
"NOT_PAID",1,1,2e+05,49
"PAID",2,2,250000,26
"PAID",2,1,140000,32
"PAID",2,1,320000,44
"NOT_PAID",2,1,20000,22
"PAID",2,2,80000,26
"PAID",2,2,3e+05,36
"PAID",2,1,5e+05,38
"PAID",1,2,30000,22
"PAID",2,2,130000,47
"PAID",1,1,40000,25
"PAID",2,2,20000,22
"PAID",2,2,470000,39
"NOT_PAID",2,2,2e+05,42
"NOT_PAID",2,2,50000,31
"PAID",2,1,130000,36
"PAID",2,1,1e+05,33
"PAID",1,2,160000,29
"PAID",1,2,50000,26
"PAID",1,1,180000,42
"PAID",1,2,50000,29
"PAID",2,1,70000,40
"NOT_PAID",1,1,270000,53
"PAID",2,1,210000,48
"PAID",2,1,70000,43
"PAID",2,2,160000,31
"PAID",2,1,30000,27
"PAID",1,2,250000,29
"PAID",2,1,10000,51
"PAID",1,2,50000,27
"PAID",1,1,120000,38
"PAID",1,2,50000,28
"PAID",1,2,250000,36
"NOT_PAID",1,2,20000,48
"PAID",2,2,70000,25
"PAID",1,2,50000,46
"PAID",1,2,110000,41
"PAID",2,2,1e+05,32
"PAID",1,1,20000,31
"PAID",2,1,120000,25
"PAID",1,2,50000,26
"NOT_PAID",1,1,140000,29
"NOT_PAID",1,1,140000,34
"PAID",2,1,250000,39
"PAID",2,2,180000,30
"PAID",1,2,130000,26
"PAID",1,2,2e+05,27
"PAID",2,2,1e+05,26
"PAID",1,2,20000,23
"PAID",2,2,290000,27
"PAID",1,1,110000,46
"PAID",2,2,30000,27
"PAID",2,2,150000,23
"PAID",2,2,150000,34
"NOT_PAID",2,2,120000,25
"PAID",1,1,280000,28
"PAID",2,1,90000,36
"PAID",1,1,130000,39
"NOT_PAID",1,2,30000,24
"PAID",1,1,1e+05,25
"NOT_PAID",2,2,30000,27
"PAID",2,1,90000,28
"PAID",2,1,160000,25
"PAID",1,1,260000,51
"NOT_PAID",1,2,50000,28
"PAID",1,2,260000,27
"PAID",2,2,220000,35
"PAID",2,2,20000,22
"NOT_PAID",2,2,3e+05,25
"PAID",2,2,250000,31
"PAID",1,2,2e+05,30
"PAID",2,2,20000,21
"NOT_PAID",1,2,50000,25
"PAID",2,2,1e+05,28
"PAID",1,1,170000,37
"PAID",1,1,120000,37
"PAID",2,2,120000,38
"PAID",1,2,50000,26
"PAID",2,2,260000,28
"PAID",2,2,60000,44
"NOT_PAID",2,2,120000,28
"PAID",2,1,220000,47
"PAID",1,2,2e+05,26
"PAID",2,1,90000,45
"PAID",2,1,310000,25
"PAID",2,1,110000,34
"PAID",2,2,140000,42
"PAID",2,1,160000,51
"NOT_PAID",2,2,80000,24
"PAID",2,1,5e+05,36
"PAID",1,2,130000,29
"PAID",2,1,240000,44
"NOT_PAID",2,2,50000,24
"PAID",2,1,180000,42
"NOT_PAID",1,2,240000,33
"PAID",1,1,180000,30
"PAID",1,2,130000,33
"NOT_PAID",2,2,50000,24
"PAID",1,2,5e+05,34
"PAID",1,1,2e+05,29
"PAID",2,2,220000,29
"PAID",1,1,70000,33
"PAID",1,1,440000,31
"PAID",1,1,290000,52
"PAID",2,2,50000,23
"PAID",2,2,120000,23
"PAID",2,1,80000,44
"PAID",2,1,170000,27
"NOT_PAID",1,2,160000,41
"NOT_PAID",1,2,280000,29
"NOT_PAID",2,1,40000,47
"PAID",2,1,80000,53
"PAID",2,1,210000,40
"NOT_PAID",2,1,60000,29
"NOT_PAID",2,1,20000,40
"PAID",2,2,230000,36
"PAID",2,1,90000,50
"PAID",2,1,170000,35
"PAID",2,2,70000,22
"PAID",1,2,50000,29
"PAID",2,1,140000,48
"PAID",2,2,50000,55
"PAID",2,2,270000,45
"NOT_PAID",2,1,170000,49
"PAID",2,2,180000,27
"PAID",2,2,80000,29
"PAID",2,2,450000,37
"PAID",1,2,4e+05,29
"PAID",2,2,4e+05,35
"PAID",1,2,60000,25
"PAID",1,2,110000,25
"PAID",2,2,60000,24
"NOT_PAID",1,2,140000,37
"NOT_PAID",1,1,20000,24
"NOT_PAID",1,2,50000,30
"PAID",2,2,30000,53
"PAID",2,2,210000,26
"NOT_PAID",1,2,50000,36
"PAID",1,2,2e+05,30
"PAID",2,1,120000,50
"NOT_PAID",2,2,2e+05,29
"PAID",2,1,180000,35
"NOT_PAID",2,1,440000,47
"PAID",2,2,150000,22
"NOT_PAID",1,1,130000,70
"PAID",2,1,50000,26
"NOT_PAID",2,2,180000,28
"PAID",2,2,80000,24
"PAID",2,2,170000,29
"PAID",2,2,150000,25
"PAID",1,2,240000,35
"NOT_PAID",1,2,140000,24
"PAID",1,0,50000,50
"PAID",2,1,20000,36
"PAID",2,1,240000,38
"PAID",2,1,30000,45
"NOT_PAID",2,2,50000,29
"NOT_PAID",2,1,20000,37
"NOT_PAID",2,1,20000,50
"PAID",2,1,310000,48
"PAID",1,2,2e+05,39
"PAID",1,2,330000,48
"PAID",2,1,1e+05,53
"PAID",2,2,50000,35
"PAID",1,2,120000,30
"PAID",1,1,160000,42
"PAID",1,1,170000,62
"PAID",2,0,50000,27
"PAID",2,2,30000,23
"PAID",1,2,150000,29
"PAID",2,2,320000,33
"PAID",2,1,50000,58
"PAID",2,2,20000,26
"NOT_PAID",1,2,20000,25
"PAID",1,1,50000,34
"PAID",1,1,160000,46
"PAID",2,2,20000,34
"NOT_PAID",1,1,130000,27
"PAID",2,2,150000,24
"PAID",2,2,20000,23
"NOT_PAID",1,1,20000,45
"PAID",2,1,70000,56
"PAID",1,2,50000,26
"PAID",1,1,2e+05,40
"PAID",2,2,320000,30
"PAID",1,2,50000,34
"PAID",1,2,70000,25
"PAID",2,2,2e+05,33
"PAID",2,1,250000,29
"NOT_PAID",2,2,70000,25
"NOT_PAID",2,1,90000,36
"PAID",1,2,4e+05,32
"PAID",2,2,130000,33
"PAID",2,1,110000,40
"PAID",1,2,150000,38
"PAID",2,2,330000,28
"PAID",2,2,30000,21
"PAID",2,2,360000,32
"PAID",1,1,50000,54
"NOT_PAID",2,2,60000,24
"PAID",2,2,2e+05,27
"PAID",2,2,180000,43
"PAID",1,2,50000,52
"PAID",2,1,80000,38
"NOT_PAID",2,2,50000,23
"PAID",2,1,270000,30
"NOT_PAID",2,2,1e+05,23
"PAID",2,2,170000,38
"PAID",1,1,30000,30
"PAID",2,2,230000,38
"PAID",2,1,2e+05,34
"NOT_PAID",1,2,130000,36
"PAID",1,1,30000,62
"PAID",2,1,140000,26
"PAID",1,1,490000,43
"PAID",1,2,160000,30
"NOT_PAID",1,1,180000,42
"PAID",2,1,260000,32
"NOT_PAID",2,2,80000,27
"NOT_PAID",2,2,360000,29
"PAID",2,2,20000,25
"PAID",1,2,20000,28
"PAID",2,1,80000,28
"PAID",1,2,5e+05,32
"PAID",1,1,160000,55
"PAID",2,2,20000,22
"PAID",2,1,330000,36
"NOT_PAID",2,2,80000,26
"PAID",1,1,220000,40
"PAID",2,2,230000,28
"PAID",2,2,90000,25
"NOT_PAID",1,1,3e+05,61
"NOT_PAID",2,1,30000,45
"NOT_PAID",2,1,80000,40
"PAID",1,2,60000,27
"PAID",1,1,360000,31
"PAID",1,2,360000,27
"PAID",2,2,30000,23
"PAID",1,1,190000,50
"PAID",2,1,130000,45
"PAID",2,2,110000,34
"PAID",2,1,350000,46
"PAID",2,1,50000,52
"PAID",2,3,130000,38
"NOT_PAID",1,2,50000,29
"PAID",1,2,50000,25
"PAID",2,2,380000,31
"PAID",2,2,260000,30
"PAID",2,2,140000,28
"PAID",2,2,270000,36
"PAID",2,1,30000,33
"PAID",1,2,240000,35
"NOT_PAID",1,2,70000,32
"NOT_PAID",1,1,120000,50
"NOT_PAID",2,2,160000,42
"NOT_PAID",1,2,170000,36
"PAID",2,2,380000,31
"PAID",2,1,160000,26
"PAID",1,2,30000,39
"PAID",2,1,260000,40
"NOT_PAID",1,2,70000,41
"PAID",1,1,240000,39
"PAID",2,1,170000,43
"PAID",1,1,30000,36
"PAID",1,2,90000,32
"PAID",1,2,250000,25
"PAID",2,2,270000,25
"NOT_PAID",2,2,130000,24
"PAID",1,1,360000,43
"PAID",1,1,490000,35
"PAID",2,1,110000,31
"PAID",1,2,1e+05,27
"PAID",1,1,2e+05,28
"PAID",2,2,50000,24
"PAID",1,2,220000,30
"PAID",1,2,360000,41
"PAID",2,1,20000,51
"PAID",2,1,70000,44
"PAID",2,2,180000,29
"PAID",1,2,50000,32
"PAID",2,2,140000,28
"PAID",1,1,220000,47
"PAID",2,2,150000,50
"PAID",1,2,30000,33
"PAID",2,1,3e+05,32
"PAID",1,1,420000,36
"PAID",2,2,80000,30
"PAID",2,2,1e+05,46
"NOT_PAID",2,2,120000,25
"PAID",2,2,230000,38
"PAID",2,1,2e+05,28
"PAID",1,2,2e+05,29
"PAID",1,1,230000,30
"PAID",1,2,2e+05,27
"NOT_PAID",1,1,50000,65
"PAID",1,1,220000,36
"NOT_PAID",1,2,90000,27
"PAID",1,2,5e+05,35
"PAID",2,2,130000,29
"PAID",1,1,210000,37
"PAID",2,2,2e+05,30
"NOT_PAID",1,2,20000,24
"NOT_PAID",2,1,410000,38
"PAID",2,1,290000,35
"PAID",2,2,270000,26
"NOT_PAID",2,2,90000,27
"PAID",2,2,30000,27
"PAID",2,2,360000,28
"PAID",1,1,240000,30
"PAID",2,2,180000,23
"PAID",2,1,50000,24
"NOT_PAID",2,2,50000,47
"PAID",1,2,1e+05,30
"PAID",1,2,50000,39
"PAID",1,1,360000,48
"PAID",2,2,550000,52
"NOT_PAID",2,1,260000,39
"NOT_PAID",2,1,5e+05,34
"PAID",1,2,130000,27
"PAID",1,2,30000,39
"PAID",2,2,160000,40
"NOT_PAID",2,1,420000,40
"PAID",2,1,50000,22
"NOT_PAID",2,2,30000,36
"PAID",2,2,50000,32
"NOT_PAID",2,1,160000,39
"PAID",2,2,120000,26
"PAID",2,2,50000,28
"PAID",1,2,130000,42
"NOT_PAID",1,2,150000,42
