destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Accepted,ageActual
No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,NA,less1,1~3,gt8,4~8,1~3,1,0,0,0,1,1,33
No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,NA,less1,1~3,gt8,4~8,1~3,1,1,0,0,1,1,30
Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,NA,less1,1~3,gt8,4~8,1~3,1,0,0,1,0,1,33
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,NA,less1,1~3,gt8,4~8,1~3,1,1,0,0,1,0,31
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,NA,less1,1~3,gt8,4~8,1~3,1,0,0,0,1,0,32
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,NA,less1,1~3,gt8,4~8,1~3,1,1,1,0,1,0,30
Work,Alone,Sunny,55,7AM,Bar,1d,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,NA,less1,1~3,gt8,4~8,1~3,1,1,1,0,1,0,29
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,NA,less1,1~3,gt8,4~8,1~3,1,1,0,0,1,1,34
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,NA,less1,1~3,gt8,4~8,1~3,1,0,0,1,0,1,29
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,NA,less1,1~3,gt8,4~8,1~3,1,0,0,0,1,1,36
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,NA,less1,1~3,gt8,4~8,1~3,1,1,0,0,1,0,31
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,0,0,0,1,1,45
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,0,0,0,1,0,44
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,1,41
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,0,37
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,0,45
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,1,38
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,1,45
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,1,41
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,1,41
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,0,43
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,0,0,0,1,1,44
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,1,38
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,0,46
Home,Alone,Sunny,55,6PM,Bar,1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,0,0,1,0,0,42
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,1,40
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,0,0,0,1,0,40
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,1,0,1,1,42
Work,Alone,Sunny,55,7AM,Bar,1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,1,0,1,0,42
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,0,41
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,0,0,1,0,1,42
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,0,0,0,1,0,42
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,NA,never,1~3,gt8,4~8,less1,1,1,0,0,1,0,36
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,0,0,0,1,0,41
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,0,0,0,1,1,39
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,1,39
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,0,41
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,0,40
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,0,39
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,1,42
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,1,41
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,1,39
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,0,41
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,0,0,0,1,1,42
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,0,42
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,0,42
Home,Alone,Sunny,55,6PM,Bar,1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,0,0,1,0,0,41
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,0,43
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,0,0,0,1,0,43
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,1,0,1,1,39
Work,Alone,Sunny,55,7AM,Bar,1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,1,0,1,0,42
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,0,43
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,0,0,1,0,0,44
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,0,0,0,1,1,41
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,NA,never,less1,4~8,1~3,less1,1,1,0,0,1,1,43
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,0,0,0,1,0,35
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,0,0,0,1,1,40
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,0,35
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,1,36
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,0,35
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,0,34
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,1,33
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,0,39
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,0,33
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,0,36
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,0,0,0,1,0,35
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,0,34
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,1,36
Home,Alone,Sunny,55,6PM,Bar,1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,0,0,1,0,0,37
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,0,37
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,0,0,0,1,1,37
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,1,0,1,0,34
Work,Alone,Sunny,55,7AM,Bar,1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,1,0,1,0,35
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,0,36
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,0,0,1,0,0,37
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,0,0,0,1,0,35
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,NA,less1,1~3,1~3,less1,less1,1,1,0,0,1,0,34
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,0,0,0,1,1,31
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,0,0,0,1,1,31
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,1,0,0,1,0,33
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,1,0,0,1,0,30
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,1,0,0,1,0,32
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,1,0,0,1,1,31
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,1,0,0,1,1,31
No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,0,0,0,1,1,32
No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,0,0,0,1,1,27
No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,0,0,0,1,0,32
No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,1,0,0,1,1,31
No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,0,0,0,1,1,31
No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,1,0,0,1,1,31
Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,0,0,1,0,0,28
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,1,0,0,1,0,30
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,0,0,0,1,0,33
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,1,1,0,1,0,32
Work,Alone,Sunny,55,7AM,Bar,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,1,1,0,1,0,31
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,1,0,0,1,1,30
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,0,0,1,0,0,33
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,0,0,0,1,1,32
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,NA,less1,less1,gt8,4~8,less1,1,1,0,0,1,0,31
No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,25
No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),1d,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,25
No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,26
No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,28
No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,27
No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,27
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,0,0,0,1,1,27
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,0,0,0,1,0,25
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,1,29
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,0,27
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,0,22
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,0,22
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,0,25
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,0,26
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,0,28
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,1,27
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,0,0,0,1,1,22
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,1,25
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,0,24
Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,0,0,1,0,1,23
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,1,25
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,0,0,0,1,1,26
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,1,0,1,0,30
Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,1,0,1,1,25
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,1,29
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,0,0,1,0,1,26
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,0,0,0,1,0,28
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,NA,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1,0,29
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,NA,1~3,NA,4~8,4~8,NA,1,0,0,0,1,1,30
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,NA,1~3,NA,4~8,4~8,NA,1,0,0,0,1,0,32
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,NA,1~3,NA,4~8,4~8,NA,1,1,0,0,1,1,32
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,NA,1~3,NA,4~8,4~8,NA,1,1,0,0,1,0,31
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,NA,1~3,NA,4~8,4~8,NA,1,1,0,0,1,0,32
