title,year,length,budget,rating,votes,genre,RatedR
Dogma,1999,124,10,7.3,43391,Comedy,R_rated
Dom durakov,2002,140,2.5,6.8,382,Drama,R_rated
Domestic Disturbance,2001,127,53,5.4,4445,Drama,Non_R_Rated
Dominion,1995,208,1.3,5,85,Drama,R_rated
Don't Say a Word,2001,176,50,6.2,10098,Drama,R_rated
Donnie Brasco,1997,130,35,7.6,20029,Drama,R_rated
Donnie Darko,2001,121,4.5,8.3,51961,Drama,R_rated
Double Jeopardy,1999,102,40,5.9,13587,Drama,R_rated
Double Take,2001,112,24,4.8,1503,Action,Non_R_Rated
Double Tap,1997,135,8,5.3,184,Action,R_rated
Double Whammy,2001,112,4,5.6,886,Comedy,R_rated
Down Time,2001,110,0.02,3.5,55,Drama,R_rated
Down and Out with the Dolls,2001,116,1.2,6,37,Comedy,R_rated
Down to Earth,2001,107,30,5.1,3720,Comedy,Non_R_Rated
Down to You,2000,108,9,4.7,3232,Comedy,Non_R_Rated
Dr T and the Women,2000,178,12,4.8,4776,Comedy,R_rated
Dr. Dolittle 2,2001,108,72,5.1,4920,Comedy,Non_R_Rated
Dr. Jekyll and Ms. Hyde,1995,135,8,4.2,573,Comedy,Non_R_Rated
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,107,1.8,8.7,63471,Comedy,Non_R_Rated
Dracula,1992,114,40,7.1,19972,Drama,R_rated
Dragonfly,2002,133,60,5.8,5431,Drama,Non_R_Rated
Drive,1997,104,3.5,6.4,1086,Action,R_rated
Drive Me Crazy,1999,125,8,5.1,2934,Comedy,Non_R_Rated
Driven,2001,100,72,4.4,7129,Action,Non_R_Rated
Drowning Mona,2000,128,16,5.4,3454,Comedy,Non_R_Rated
Drumline,2002,144,20,5.3,7368,Comedy,Non_R_Rated
"Dude, Where's My Car?",2000,144,13,4.6,13330,Comedy,Non_R_Rated
Dudley Do-Right,1999,117,22,3.6,1790,Comedy,Non_R_Rated
Duets,2000,128,15,5.8,2414,Comedy,R_rated
Dumb & Dumber,1994,163,16,6.6,27713,Comedy,Non_R_Rated
Dumb and Dumberer: When Harry Met Lloyd,2003,129,19,3.3,4689,Comedy,Non_R_Rated
Dungeons & Dragons,2000,115,35,4,7435,Action,Non_R_Rated
Duplex,2003,139,40,5.7,4334,Comedy,Non_R_Rated
Dusting Cliff 7,1996,121,1.3,3.5,80,Action,R_rated
DysFunktional Family,2003,108,3,5.6,207,Comedy,R_rated
E.T. the Extra-Terrestrial,1982,119,10.5,7.8,44175,Drama,Non_R_Rated
Ed Wood,1994,132,18,8,22612,Comedy,R_rated
Eddie,1996,128,30,4.9,1348,Comedy,Non_R_Rated
Edges of the Lord,2001,107,7.5,7,639,Drama,R_rated
Edtv,1999,134,60,6.2,10085,Comedy,Non_R_Rated
Eight Legged Freaks,2002,141,30,5.5,6362,Action,Non_R_Rated
"Eighteenth Angel, The",1998,135,25,4.6,557,Action,R_rated
Election,1999,152,8.5,7.4,17521,Comedy,R_rated
Elektra,2005,114,43,4.9,5120,Action,Non_R_Rated
Elephant,2003,108,3,7.3,9203,Drama,R_rated
Elf,2003,125,33,7,10165,Comedy,Non_R_Rated
Elizabeth,1998,119,25,7.6,14733,Drama,R_rated
Ella Enchanted,2004,131,35,6.5,2502,Comedy,Non_R_Rated
Elvira's Haunted Hills,2001,130,1.5,5.2,307,Comedy,Non_R_Rated
Emma,1996,136,6,6.9,6431,Comedy,Non_R_Rated
Emmett's Mark,2002,113,4.5,6.2,427,Drama,R_rated
"Emperor's Club, The",2002,147,12.5,6.7,3056,Drama,Non_R_Rated
Empire,2002,108,3.5,6,1718,Action,R_rated
End of Days,1999,112,83,5.3,18237,Action,R_rated
"End of Violence, The",1997,116,5,5.4,1575,Drama,R_rated
"End of the Affair, The",1999,113,23,7,4808,Drama,R_rated
Enemy at the Gates,2001,108,70,7.3,19169,Action,R_rated
Enemy of the State,1998,103,90,7.1,23263,Action,R_rated
"English Patient, The",1996,104,27,7.1,25210,Drama,R_rated
Enough,2002,128,38,4.9,4339,Drama,Non_R_Rated
Enter the Dragon,1973,106,0.85,7.4,8078,Action,R_rated
Entrapment,1999,98,66,6.1,18543,Comedy,Non_R_Rated
Envy,2004,110,40,4.3,3417,Comedy,Non_R_Rated
Equilibrium,2002,140,20,7.6,17579,Action,R_rated
"Era of Vampire, The",2002,156,1,4.2,329,Action,R_rated
Eraser,1996,114,100,5.8,14641,Action,R_rated
Erin Brockovich,2000,107,51,7.3,24301,Drama,R_rated
Escanaba in da Moonlight,2001,156,1,5.5,373,Comedy,Non_R_Rated
Escape from L.A.,1996,110,50,4.8,7955,Action,R_rated
"Espinazo del diablo, El",2001,115,4.5,7.4,3474,Drama,R_rated
Eternal Sunshine of the Spotless Mind,2004,119,20,8.6,46240,Comedy,R_rated
Eulogy,2004,113,10,6.5,773,Comedy,R_rated
EuroTrip,2004,107,25,6.1,8390,Comedy,R_rated
Eve's Bayou,1997,142,5,7.2,2302,Drama,R_rated
Evelyn,2002,126,10,7.1,1163,Drama,Non_R_Rated
EvenHand,2002,133,0.5,7.3,169,Drama,R_rated
Ever After,1998,119,26,7,10250,Comedy,Non_R_Rated
"Everlasting Piece, An",2000,115,14,6.1,475,Comedy,R_rated
Everyone Says I Love You,1996,120,20,6.9,7314,Comedy,R_rated
Everything Put Together,2000,116,0.5,7.1,151,Drama,R_rated
Evil Alien Conquerors,2002,123,0.5,3.8,111,Comedy,Non_R_Rated
Evita,1996,107,55,6.2,8371,Drama,Non_R_Rated
Evolution,2001,128,80,5.8,14232,Comedy,Non_R_Rated
Exit Wounds,2001,143,33,5.3,5370,Action,R_rated
Exorcist: The Beginning,2004,133,30,5,4130,Action,R_rated
Extreme Ops,2002,109,40,4,1337,Action,Non_R_Rated
Eye for an Eye,1996,114,20,5.6,1843,Drama,R_rated
Eyes Wide Shut,1999,129,65,7,37868,Drama,R_rated
Facade,2000,122,6,4.8,93,Action,R_rated
Face/Off,1997,106,80,7.1,37506,Action,R_rated
Fahrenheit 9/11,2004,112,6,7.9,34666,Documentary,R_rated
Fair Game,1995,109,50,3.9,2579,Action,R_rated
Faithful,1996,112,13,5.6,414,Comedy,R_rated
"Falls, The",2003,114,0.075,5.7,29,Drama,R_rated
"Family Man, The",2000,118,60,6.5,11220,Comedy,Non_R_Rated
"Fantasma dell'opera, Il",1998,132,10,3.8,910,Drama,R_rated
Far from Heaven,2002,108,13.5,7.7,9167,Drama,Non_R_Rated
Fargo,1996,122,7,8.2,65597,Drama,R_rated
Fascination,2004,109,5,3.3,124,Drama,R_rated
"Fast and the Furious, The",2001,119,38,5.7,21428,Action,Non_R_Rated
Father of the Bride Part II,1995,119,30,5.6,4089,Comedy,Non_R_Rated
Fathers' Day,1997,126,85,4.7,2714,Comedy,Non_R_Rated
Female Trouble,1974,117,0.025,7.1,868,Comedy,Non_R_Rated
Feng yun xiong ba tian xia,1998,113,10,6.3,922,Action,Non_R_Rated
Festen,1998,113,1.3,8.2,11983,Drama,R_rated
Fever Pitch,2005,134,39.69,6.6,1712,Comedy,Non_R_Rated
"Fifth Element, The",1997,112,90,7.1,55398,Action,Non_R_Rated
Fight Club,1999,115,63,8.5,112092,Drama,R_rated
Final,2001,150,0.08,5.2,330,Drama,R_rated
Final Fantasy: The Spirits Within,2001,113,137,6.5,16451,Action,Non_R_Rated
Final Solution,2001,126,1.5,7,32,Action,R_rated
Finding Forrester,2000,122,43,7.3,13439,Drama,Non_R_Rated
Finding Graceland,1998,155,10,6.6,504,Drama,Non_R_Rated
Fire Over Afghanistan,2003,102,0.155,4.5,67,Action,R_rated
Firestorm,1998,113,19,4.4,987,Action,R_rated
"Firm, The",1993,144,42,6.6,14708,Drama,R_rated
First Knight,1995,115,75,5.6,8708,Drama,Non_R_Rated
"First Love, Last Rites",1997,126,0.3,5,147,Drama,R_rated
Flawless,1999,137,27,6.1,3287,Comedy,R_rated
Flight of the Phoenix,2004,101,45,6,2732,Action,Non_R_Rated
"Flintstones in Viva Rock Vegas, The",2000,102,58,3.7,1712,Comedy,Non_R_Rated
For Love of the Game,1999,104,50,6.1,5782,Drama,Non_R_Rated
Foreign Correspondents,1999,112,0.5,7.6,117,Drama,Non_R_Rated
"Foreigner, The",2003,126,20,3.1,904,Action,R_rated
Forever Lulu,2000,125,20,5.5,257,Comedy,R_rated
"Forgotten, The",2004,120,42,5.8,8234,Drama,Non_R_Rated
Forrest Gump,1994,101,55,8.2,89722,Comedy,Non_R_Rated
Fortress 2,1999,128,11,4.2,1027,Action,R_rated
"Four Feathers, The",2002,135,80,6.2,4400,Drama,Non_R_Rated
Four Rooms,1995,110,4,6,10675,Comedy,R_rated
Four Weddings and a Funeral,1994,109,6,7.2,17820,Comedy,R_rated
Frailty,2001,121,11,7.4,10551,Drama,R_rated
Frankenfish,2004,116,3,4.6,309,Action,R_rated
Frankenstein,1994,98,45,6,6941,Drama,R_rated
Freaky Friday,2003,129,26,6.9,8052,Comedy,Non_R_Rated
Freddy Got Fingered,2001,137,15,3.5,9115,Comedy,R_rated
Freddy Vs. Jason,2003,116,25,6.1,11109,Action,R_rated
Freddy's Dead: The Final Nightmare,1991,148,5,4.3,3618,Comedy,R_rated
Free Money,1998,116,30,4.7,619,Comedy,R_rated
Freeway,1996,112,3,6.5,4961,Drama,R_rated
Freeway II: Confessions of a Trickbaby,1999,130,2,4.6,666,Drama,R_rated
Freeze Frame,2004,154,2,5.8,189,Drama,R_rated
Frequency,2000,128,31,7.4,15317,Drama,Non_R_Rated
Frida,2002,107,12,7.5,8614,Drama,R_rated
Friday,1995,133,3.5,6.7,7020,Comedy,R_rated
Friday After Next,2002,118,20,4.9,1659,Comedy,R_rated
Friday Night Lights,2004,117,30,7,4290,Drama,Non_R_Rated
From Dusk Till Dawn,1996,155,20,6.8,28473,Action,R_rated
From Justin to Kelly,2003,115,12,1.7,6517,Comedy,Non_R_Rated
Frostbite,2005,124,2.4,2.8,201,Comedy,R_rated
Full Clip,2004,115,0.5,4.1,72,Action,R_rated
Full Frontal,2002,116,2,5,3056,Comedy,R_rated
"Full Monty, The",1997,132,3.5,7.2,22115,Comedy,R_rated
Galaxy Quest,1999,128,45,7.2,22341,Comedy,Non_R_Rated
"Game of Their Lives, The",2005,123,20,6.4,125,Drama,Non_R_Rated
Gangs of New York,2002,122,97,7.3,34808,Drama,R_rated
Garage Days,2002,113,6,5.6,597,Comedy,R_rated
Garden State,2004,104,2.5,8.1,23814,Comedy,R_rated
Garfield,2004,121,50,4.8,4775,Animation,Non_R_Rated
Gattaca,1997,133,36,7.6,26071,Drama,Non_R_Rated
"General's Daughter, The",1999,138,60,6.1,11128,Drama,R_rated
George of the Jungle,1997,120,55,5.5,6430,Comedy,Non_R_Rated
Gerry,2002,114,3.5,6,1944,Drama,R_rated
Get Carter,2000,120,40,4.7,4927,Action,R_rated
Get Over It,2001,120,10,5.7,3561,Comedy,Non_R_Rated
Get Shorty,1995,110,30.25,7,14825,Comedy,R_rated
Get on the Bus,1996,117,2.4,6.6,1142,Drama,R_rated
Ghost World,2000,104,7,7.8,17976,Comedy,R_rated
"Ghost and the Darkness, The",1996,147,55,6.4,8360,Action,R_rated
Ghosts of Mars,2001,112,28,4.6,6368,Action,R_rated
Ghosts of the Abyss,2003,106,13,6.6,664,Documentary,Non_R_Rated
"Gift, The",2000,110,10,6.8,12440,Drama,R_rated
Gigli,2003,110,54,2.3,11285,Comedy,R_rated
Girl 6,1996,112,12,5,1453,Comedy,R_rated
"Girl, Interrupted",1999,123,24,7,16362,Drama,R_rated
Gladiator,2000,106,103,8,92495,Action,R_rated
Glitter,2001,137,22,2.1,5209,Drama,Non_R_Rated
Global Heresy,2002,108,12,5.7,373,Drama,R_rated
Gloria,1999,124,30,4.9,1144,Drama,R_rated
Go,1999,147,6.5,7.4,20663,Comedy,R_rated
Go Fish,1994,125,0.015,5.8,621,Romance,R_rated
Goat on Fire and Smiling Fish,1999,117,0.04,6.3,254,Comedy,R_rated
God's Army,2000,114,0.3,6.4,354,Drama,Non_R_Rated
Gods and Generals,2003,140,56,5.7,3002,Action,Non_R_Rated
Gods and Monsters,1998,109,3.5,7.6,9020,Drama,R_rated
Going Greek,2001,117,0.198,4.8,261,Comedy,R_rated
Gojira ni-sen mireniamu,1999,123,1,5.6,1150,Action,Non_R_Rated
"Golden Bowl, The",2000,102,15,6,1145,Drama,R_rated
GoldenEye,1995,118,80,6.8,22991,Action,Non_R_Rated
Gone Fishin',1997,108,53,3.8,1884,Comedy,Non_R_Rated
Gone in Sixty Seconds,2000,120,90,5.7,25400,Action,Non_R_Rated
Gong fu,2004,118,20,7.9,5299,Action,R_rated
Good Boy!,2003,115,18,4.7,683,Comedy,Non_R_Rated
Good Burger,1997,115,9,4,1714,Comedy,Non_R_Rated
"Good Girl, The",2002,112,5,6.9,8254,Comedy,R_rated
Good Will Hunting,1997,131,10,7.8,60858,Drama,R_rated
Gosford Park,2001,104,15,7.3,16831,Drama,R_rated
Grace of My Heart,1996,122,5,6.5,982,Comedy,R_rated
"Granny, The",1995,139,1,4.2,142,Comedy,R_rated
"Grave, The",1996,120,4,5.6,303,Comedy,R_rated
Gravesend,1997,136,0.065,5,111,Drama,R_rated
"Great White Hope, The",1970,109,6,6.9,369,Drama,Non_R_Rated
"Green Mile, The",1999,124,60,8.1,60142,Drama,R_rated
"Greenskeeper, The",2002,113,0.08,4.7,38,Comedy,R_rated
Grey Owl,1999,127,30,5.7,629,Drama,Non_R_Rated
"Grey Zone, The",2001,115,5,7.3,1553,Drama,R_rated
Groove,2000,164,0.5,6,1171,Drama,R_rated
Grosse Pointe Blank,1997,111,15,7.4,20400,Comedy,R_rated
Grumpier Old Men,1995,123,25,6.2,3711,Comedy,Non_R_Rated
Guinevere,1999,119,2.6,6.3,804,Drama,R_rated
Gun Shy,2000,124,10,5.4,1701,Comedy,R_rated
"Guru, The",2002,184,11,5.9,3505,Comedy,R_rated
"Guy Thing, A",2003,113,20,5.3,2885,Comedy,Non_R_Rated
Hairshirt,1998,130,0.065,4.2,242,Comedy,R_rated
Half Past Dead,2002,113,30,3.9,2099,Action,Non_R_Rated
Hanging Up,2000,143,40,4.4,3129,Comedy,Non_R_Rated
Happy Gilmore,1996,123,10,6.8,17746,Comedy,Non_R_Rated
"Happy, Texas",1999,150,1.7,6.4,3453,Comedy,Non_R_Rated
Hard Ball,2001,105,21,6,3083,Drama,Non_R_Rated
Hard Rain,1998,108,70,5.5,6161,Action,R_rated
Hardware,1990,143,1.5,5.2,1323,Action,R_rated
Harold & Kumar Go to White Castle,2004,119,9,7.1,8376,Comedy,R_rated
Harriet the Spy,1996,124,13,5.8,845,Comedy,Non_R_Rated
Hart's War,2002,121,70,6.2,6368,Drama,R_rated
Harvard Man,2001,124,5.5,4.9,1157,Drama,R_rated
"Haunted Mansion, The",2003,123,90,5,3341,Comedy,Non_R_Rated
Hav Plenty,1997,132,0.65,5.3,256,Comedy,R_rated
He Got Game,1998,108,25,6.6,4198,Drama,R_rated
Head Over Heels,2001,103,14,4.9,2632,Comedy,Non_R_Rated
Heart of America,2003,118,3,6.1,204,Drama,R_rated
"Heart of Me, The",2002,129,7,6.2,336,Drama,R_rated
Heartbreakers,2001,143,40,6.2,8037,Comedy,Non_R_Rated
Hearts in Atlantis,2001,109,31,6.7,6577,Drama,Non_R_Rated
Heat,1995,135,60,7.9,44588,Action,R_rated
Heaven,2002,168,11,7.3,3857,Drama,R_rated
Heavenly Creatures,1994,124,5,7.7,11453,Drama,R_rated
Heavy Metal 2000,2000,119,15,5.1,1148,Action,R_rated
Hedwig and the Angry Inch,2001,101,6,7.7,6072,Comedy,R_rated
Held Up,1999,101,8,4.6,555,Comedy,Non_R_Rated
"Helix... Loaded, The",2005,112,1,2.3,33,Action,R_rated
Hellboy,2004,109,66,6.7,15565,Action,Non_R_Rated
Henry V,1989,135,9,7.9,8241,Action,Non_R_Rated
Here on Earth,2000,103,15,4.8,2187,Drama,Non_R_Rated
Hey Arnold! The Movie,2002,133,10,4.8,425,Animation,Non_R_Rated
Hidalgo,2004,139,78,6.6,7328,Action,Non_R_Rated
Hidden Agenda,2001,112,5,4.2,266,Action,R_rated
Hidden Assassin,1995,108,11,4.4,245,Action,R_rated
Hide and Seek,2005,111,30,5.2,3784,Drama,R_rated
Hideous Kinky,1998,106,12,6.1,1615,Drama,R_rated
High Crimes,2002,101,42,6.1,6043,Drama,Non_R_Rated
High Fidelity,2000,124,20,7.6,29704,Comedy,R_rated
High Strung,1991,113,0.3,6.2,391,Comedy,Non_R_Rated
Highlander,1986,114,16,7.1,18146,Action,R_rated
Highlander II: The Quickening,1991,121,30,3.4,9264,Action,R_rated
Highlander III: The Sorcerer,1994,102,26,3.7,3388,Action,Non_R_Rated
Highlander: Endgame,2000,117,15,4.4,3773,Action,R_rated
"Hillz, The",2004,102,0.1,3.1,80,Comedy,R_rated
HipHopBattle.com: Hip Hop 4 Life,2001,115,0.012,5.7,15,Comedy,Non_R_Rated
Hit and Runway,1999,132,1.2,6.7,189,Comedy,R_rated
"Hitchhiker's Guide to the Galaxy, The",2005,115,50,6.9,7644,Comedy,Non_R_Rated
Holes,2003,112,30,7.2,5235,Comedy,Non_R_Rated
Hollywood Ending,2002,117,16,6.3,3673,Comedy,Non_R_Rated
Hollywood Homicide,2003,133,75,5.2,5312,Action,Non_R_Rated
Hollywood North,2003,105,7,5.7,114,Comedy,R_rated
"Hollywood Sign, The",2001,136,12,5.3,196,Comedy,R_rated
Holy Man,1998,120,60,4.9,3497,Comedy,Non_R_Rated
Home Fries,1998,115,15,4.9,2374,Comedy,Non_R_Rated
"Home at the End of the World, A",2004,121,6.5,6.5,1693,Drama,R_rated
Home on the Range,2004,140,110,5.4,1510,Animation,Non_R_Rated
Hometown Legend,2002,121,2,4.6,186,Drama,Non_R_Rated
Honey,2003,111,17,3.9,3067,Drama,Non_R_Rated
Hong faan kui,1996,110,7.5,6.5,4644,Action,R_rated
Hope Floats,1998,128,30,5.3,4382,Comedy,Non_R_Rated
"Horse Whisperer, The",1998,116,60,6.4,6744,Drama,Non_R_Rated
"Hours, The",2002,127,25,7.6,16692,Drama,Non_R_Rated
"House of Mirth, The",2000,104,10,6.9,2167,Drama,Non_R_Rated
House of Sand and Fog,2003,202,16,7.8,8164,Drama,R_rated
"House of Yes, The",1997,117,1.5,6.5,2345,Comedy,R_rated
House of the Dead,2003,127,7,2.3,3921,Action,R_rated
"House on Turk Street, The",2002,124,12,5.5,1048,Drama,R_rated
How Harry Became a Tree,2001,116,6,6.7,115,Drama,R_rated
How High,2001,107,12,4.9,2916,Comedy,R_rated
How Stella Got Her Groove Back,1998,138,20,5,1475,Drama,R_rated
How the Grinch Stole Christmas,2000,193,123,5.7,12680,Comedy,Non_R_Rated
How to Deal,2003,123,16,5.5,1537,Comedy,Non_R_Rated
How to Kill Your Neighbor's Dog,2000,112,7.3,7,907,Comedy,R_rated
How to Lose a Guy in 10 Days,2003,170,50,6.1,9257,Comedy,Non_R_Rated
Hulk,2003,104,120,6.1,20710,Action,Non_R_Rated
Hurricane,1997,135,0.5,6.6,424,Drama,R_rated
"Hurricane, The",1999,195,38,7.3,12445,Drama,R_rated
Husbands,1970,108,1,7,373,Drama,Non_R_Rated
I Am Sam,2001,124,22,7.2,9945,Drama,Non_R_Rated
I Capture the Castle,2003,127,8,7,947,Drama,R_rated
I Dreamed of Africa,2000,141,34,5.2,1113,Drama,Non_R_Rated
I Got the Hook Up,1998,120,3.5,3.2,412,Comedy,R_rated
I Heart Huckabees,2004,136,22,7,7262,Comedy,R_rated
I Married a Strange Person!,1997,127,0.25,6.2,391,Animation,R_rated
I Spy,2002,136,70,5.3,5521,Action,Non_R_Rated
I'm with Lucy,2002,104,15,6.2,646,Comedy,R_rated
"I, Robot",2004,123,105,7,22330,Action,Non_R_Rated
Ice Age,2002,139,60,7.3,22302,Animation,Non_R_Rated
Ice Cream Man,1995,101,2,4.2,349,Comedy,R_rated
"Ice Storm, The",1997,103,18,7.5,13115,Drama,R_rated
"Ideal Husband, An",1999,122,14,7,4584,Comedy,Non_R_Rated
Identity,2003,106,30,7.3,18747,Drama,R_rated
Idle Hands,1999,113,20,5.4,5892,Comedy,R_rated
Igby Goes Down,2002,114,9,7.1,7958,Comedy,R_rated
Imaginary Heroes,2004,110,10,7,411,Comedy,R_rated
"Importance of Being Earnest, The",2002,142,15,6.8,3598,Comedy,Non_R_Rated
Impostor,2002,105,40,5.8,3292,Action,R_rated
In & Out,1997,111,35,6.2,10352,Comedy,Non_R_Rated
"In Crowd, The",2000,103,15,4,1342,Drama,Non_R_Rated
In This World,2002,114,1.9,7.8,815,Drama,R_rated
In the Bedroom,2001,131,1.7,7.4,10177,Drama,R_rated
In the Company of Men,1997,108,0.025,7.3,3618,Comedy,R_rated
In the Shadows,2001,123,10,4.8,268,Drama,R_rated
Incident at Loch Ness,2004,116,1.4,6.4,251,Comedy,Non_R_Rated
"Incredibles, The",2004,108,92,8.3,30749,Action,Non_R_Rated
"Incredibly True Adventure of Two Girls in Love, The",1995,113,0.25,6.5,795,Comedy,R_rated
Independence Day,1996,121,75,6.1,61831,Action,Non_R_Rated
"Insider, The",1999,124,68,8,28780,Drama,R_rated
Insomnia,2002,109,46,7.3,22235,Drama,R_rated
Inspector Gadget,1999,102,75,4,5288,Action,Non_R_Rated
Instinct,1999,107,55,6.1,6298,Drama,R_rated
"Intended, The",2002,106,3.8,6.8,40,Drama,R_rated
Intermission,2003,106,5,6.4,1971,Comedy,R_rated
"Interpreter, The",2005,112,80,6.6,4678,Drama,Non_R_Rated
Interstate 60,2002,147,7,7.7,2495,Comedy,R_rated
Interview with the Assassin,2002,109,0.75,6.7,409,Drama,R_rated
Into the Sun,2005,110,16,4,481,Action,R_rated
Intolerable Cruelty,2003,120,60,6.6,11967,Comedy,Non_R_Rated
"Intruder, The",1962,112,0.08,8,163,Drama,Non_R_Rated
"Invasions barbares, Les",2003,102,5,7.9,4900,Comedy,R_rated
"Iron Giant, The",1999,127,48,7.9,15151,Animation,Non_R_Rated
Isn't She Great,2000,106,36,4.8,688,Comedy,R_rated
"Italian Job, The",2003,109,60,6.9,18496,Action,Non_R_Rated
JFK,1991,114,40,7.8,26456,Drama,R_rated
Jack,1996,130,45,5.2,5256,Comedy,Non_R_Rated
Jack Frost,1998,108,50,4.5,2130,Comedy,Non_R_Rated
Jackass: The Movie,2002,116,5,6.1,8893,Comedy,R_rated
Jackie Brown,1997,121,12,7.5,28891,Drama,R_rated
Jackpot,2001,105,0.4,5.2,213,Comedy,R_rated
Jade,1995,121,50,4.8,2380,Action,R_rated
Jake's Booty Call,2003,127,0.05,7,10,Comedy,R_rated
Jakob the Liar,1999,110,15,5.9,2544,Comedy,Non_R_Rated
James and the Giant Peach,1996,106,38,6.6,3144,Animation,Non_R_Rated
Japanese Story,2003,126,5.74,7,1330,Drama,R_rated
Jay and Silent Bob Strike Back,2001,106,22,6.9,24211,Comedy,R_rated
Jeepers Creepers,2001,103,10,5.4,10973,Drama,R_rated
Jefferson in Paris,1995,116,14,5.6,665,Drama,Non_R_Rated
Jerry Maguire,1996,116,50,7.3,34623,Comedy,R_rated
Jerry and Tom,1998,125,5,6.7,447,Comedy,R_rated
Jersey Girl,2004,133,35,6.4,6853,Comedy,Non_R_Rated
Jesus' Son,1999,120,2.5,6.9,2291,Drama,R_rated
"Jimmy Show, The",2001,129,1,4.6,145,Comedy,R_rated
Jing cha gu shi III: Chao ji jing cha,1992,135,0.9,6.7,2024,Action,R_rated
Jingle All the Way,1996,102,60,4.7,6246,Action,Non_R_Rated
Joe Dirt,2001,129,16,5.1,5514,Comedy,Non_R_Rated
Joe Somebody,2001,101,38,5.5,1937,Comedy,Non_R_Rated
Joe's Apartment,1996,120,13,5,2169,Comedy,Non_R_Rated
John Q,2002,135,36,6.4,8952,Drama,Non_R_Rated
Johnny English,2003,126,35,5.6,8125,Action,Non_R_Rated
Johnson Family Vacation,2004,124,12,3.6,955,Comedy,Non_R_Rated
Josie and the Pussycats,2001,103,22,5.2,4508,Comedy,Non_R_Rated
Judge Dredd,1995,145,90,4.6,9979,Action,R_rated
Judgment,2001,103,11,4.6,106,Drama,Non_R_Rated
Jui kuen II,1994,106,2,7.5,4628,Action,R_rated
Julie Walking Home,2002,117,5,7.3,190,Drama,R_rated
Jumanji,1995,106,65,6,14874,Action,Non_R_Rated
Jurassic Park III,2001,123,93,5.6,20690,Action,Non_R_Rated
"Juror, The",1996,105,44,5.3,2920,Drama,R_rated
Just Looking,1999,142,3,6.2,436,Comedy,R_rated
Just the Ticket,1999,141,12,5.5,610,Comedy,R_rated
Juwanna Mann,2002,151,15.6,3.9,885,Comedy,Non_R_Rated
K-19: The Widowmaker,2002,125,100,6.6,8292,Drama,Non_R_Rated
K-PAX,2001,108,48,7.2,17235,Drama,Non_R_Rated
Kama Sutra: A Tale of Love,1996,115,3,5.5,1491,Drama,R_rated
Kangaroo Jack,2003,101,60,3.9,3661,Comedy,Non_R_Rated
Kansas City,1996,125,19,5.8,1077,Drama,R_rated
Karakter,1997,118,4.5,7.7,2687,Drama,R_rated
Kate & Leopold,2001,140,48,6.3,8060,Comedy,Non_R_Rated
Keane,2004,109,0.85,6.3,34,Drama,R_rated
Keeping the Faith,2000,139,30,6.8,11351,Comedy,Non_R_Rated
Kicked in the Head,1997,104,4,4.2,271,Comedy,R_rated
"Kid, The",2000,104,65,6.1,5418,Comedy,Non_R_Rated
Kill Bill: Vol. 1,2003,117,55,8.3,65026,Action,R_rated
Kill Bill: Vol. 2,2004,121,30,8.3,44189,Action,R_rated
Killers,1997,128,0.1,2.8,127,Action,R_rated
Killing Me Softly,2002,154,25,5.4,1771,Drama,R_rated
Kimberly,1999,109,2,5.3,231,Comedy,R_rated
King Arthur,2004,110,90,6,14272,Action,R_rated
Kingdom of Heaven,2005,134,130,7,6498,Action,R_rated
Kingpin,1996,108,25,6.6,10643,Comedy,Non_R_Rated
Kinsey,2004,170,11,7.6,3225,Drama,R_rated
Kiss of the Dragon,2001,115,25,6.2,7887,Action,R_rated
Kiss the Girls,1997,104,27,6.4,9041,Drama,R_rated
Kiss the Sky,1999,145,6,5.6,263,Romance,R_rated
"Kiss, The",2004,113,0.006,5.8,5,Short,Non_R_Rated
Kissing Jessica Stein,2001,114,1,7,4236,Comedy,R_rated
"Knight's Tale, A",2001,149,41,6.5,15006,Action,Non_R_Rated
Knock Off,1998,135,35,3.8,1947,Action,R_rated
Kundun,1997,194,28,7.1,4306,Drama,Non_R_Rated
Kung Pow: Enter the Fist,2002,119,10,5.1,5871,Action,Non_R_Rated
"Ladykillers, The",2004,103,35,6.4,10580,Comedy,R_rated
Lake Placid,1999,104,27,5.2,7836,Action,R_rated
Lana's Rain,2002,147,0.215,7.1,56,Drama,R_rated
Lara Croft Tomb Raider: The Cradle of Life,2003,120,90,5.2,9103,Action,Non_R_Rated
Lara Croft: Tomb Raider,2001,112,80,5.2,21861,Action,Non_R_Rated
Lashou shentan,1992,108,4.5,7.9,6568,Action,R_rated
"Last Castle, The",2001,162,60,6.4,7233,Action,R_rated
Last Man Standing,1996,103,67,5.7,6751,Action,R_rated
Last Orders,2001,102,12,7.1,1583,Drama,R_rated
"Last Patrol, The",2000,129,8.2,2.9,236,Action,Non_R_Rated
"Last Picture Show, The",1971,111,1.3,8,5340,Drama,R_rated
"Last Resort, The",1997,135,5,5,62,Action,Non_R_Rated
"Last Samurai, The",2003,113,100,7.9,31668,Action,R_rated
"Last Time I Committed Suicide, The",1997,101,4,5.3,530,Drama,R_rated
Latter Days,2003,125,0.85,7.3,1396,Comedy,R_rated
Lawn Dogs,1997,116,8,7.5,1856,Drama,R_rated
